日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-06-11,300666,江丰电子,创业板,1,1/1,292.4,38.9,61.2,236.7,305.4,半导体,半导体概念,21,,60.28,646.54,9.8,3.09,0.48,10:31,0,2.82,,
2026-06-11,300263,隆华科技,创业板,1,1/1,14.18,20.7,27.5,74.0,105.2,通用设备,半导体概念,21,,26.55,138.33,20.0,0.99,0.71,13:00,1,2.32,,
2026-06-11,300706,阿石创,创业板,1,1/1,67.88,28.7,41.4,88.8,202.4,半导体,半导体概念,21,,21.72,77.27,31.0,1.36,1.76,13:20,0,2.66,,
2026-06-11,300505,川金诺,创业板,1,1/1,22.57,15.8,-9.4,6.0,30.1,农化制品,电池技术,15,,11.76,49.06,25.8,0.86,1.76,14:40,0,2.03,,
2026-06-11,300481,濮阳惠成,创业板,1,1/1,17.03,23.3,17.3,12.8,23.9,电子化学,破增发价股,3,,6.75,49.4,14.4,0.29,0.59,10:43,0,1.79,,
2026-06-11,300894,火星人,创业板,1,1/1,11.38,30.5,9.2,0.4,-12.6,厨卫电器,转债标的,1,,2.68,33.47,8.4,0.97,2.89,10:04,0,0.61,,
2026-06-11,301580,爱迪特,创业板,1,1/1,45.18,14.5,-16.8,49.0,61.4,医疗器械,医疗器械概念,3,,2.58,45.54,5.7,1.12,2.46,09:30,0,0.53,,
2026-06-11,300289,利德曼,创业板,1,1/1,6.62,16.1,-1.3,-6.0,28.5,医疗器械,央国企改革,21,,2.06,35.96,5.9,0.38,1.07,10:07,0,0.64,,
2026-06-11,002971,和远气体,主板,3,6/4,52.75,41.1,59.3,66.6,143.6,化学制品,电池技术,15,,12.49,82.5,15.2,1.86,2.26,09:25,2,-0.54,,
2026-06-11,000048,京基智农,主板,3,3/3,19.61,34.6,31.9,47.0,22.3,养殖业,机器人概念,3,,5.6,103.8,5.5,0.73,0.71,09:31,1,0.7,,关于控股股东协议转让公司部分股份暨权益变动的提示性公告
2026-06-11,600500,中化国际,主板,3,8/4,7.21,26.5,39.2,90.7,88.3,化学制品,央国企改革,21,,2.8,258.72,1.1,3.03,1.17,09:25,0,0.5,,中化国际关于公司未来三年股东分红回报规划(2026—2028年)的公告
