日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,全部题材,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-08-20,300765,石药创新,创业板,1,1/1,51.78,25.4,24.9,54.2,5.5,化学制药,创新药,17,医药医疗风格|创新药|2026中报扭亏,71.1,32.28,727.3,4.6,2.34,0.32,09:52,1,3.1,,石药创新300765.SZ)2026年中报净利润为12.61亿元，扭亏为盈
2026-08-20,300009,安科生物,创业板,1,1/1,10.15,15.6,21.4,6.2,-11.7,生物制品,病原体防治,17,医疗器械概念|病原体防治|创新药,24.4,19.66,124.87,16.3,0.6,0.48,13:00,3,4.14,,安科生物：“注射用醋酸西曲瑞克”上市许可申请获受理
2026-08-20,300601,康泰生物,创业板,1,1/1,14.47,13.2,17.5,-2.3,-18.3,生物制品,病原体防治,17,破增发价股|病原体防治|创新药,198.9,14.48,130.29,11.4,0.78,0.6,10:00,2,2.53,,
2026-08-20,300109,新开源,创业板,1,1/1,15.98,17.7,15.0,2.2,7.1,化学制品,创新药,17,创新药|体外诊断概念|精准医疗,52.9,13.63,82.7,16.8,0.19,0.22,09:42,8,1.76,,
2026-08-20,300363,博腾股份,创业板,1,1/1,24.48,9.5,46.1,5.0,6.4,医疗服务,2026中报首亏,9,西部大开发|流感|2026中报首亏,103.5,12.83,121.31,11.0,1.64,1.35,09:45,0,2.77,,
2026-08-20,300142,沃森生物,创业板,1,1/1,15.12,13.5,10.8,27.5,16.6,生物制品,病原体防治,17,病原体防治|病毒防治|生物疫苗,84.6,10.14,238.46,4.3,8.06,3.38,09:25,0,4.22,,医药生物板块大幅飙升 “药茅”恒瑞医药半年报后逆势暴跌
2026-08-20,300122,智飞生物,创业板,1,1/1,14.48,9.5,12.2,-14.3,-37.8,生物制品,病原体防治,17,病原体防治|创新药|生物疫苗,-2.3,8.93,204.79,4.4,1.74,0.85,09:30,0,3.42,,
2026-08-20,300841,康华生物,创业板,1,1/1,60.31,22.8,34.4,-15.0,-27.5,生物制品,病原体防治,17,病原体防治|病毒防治|生物疫苗,31.8,5.07,73.32,7.0,1.48,2.02,09:32,0,1.29,,康华生物300841.SZ)2026年中报净利润为1.41亿元、较去年同期上涨23.25%
2026-08-20,300006,莱美药业,创业板,1,1/1,5.94,10.6,31.4,16.5,17.2,化学制药,病原体防治,17,央国企改革|病原体防治|创新药,-49.5,3.33,62.72,5.3,2.91,4.64,09:25,0,0.75,,
2026-08-20,300710,万隆光电,创业板,1,1/1,32.27,12.1,23.9,2.1,54.0,通信设备,新能源车,2,新能源车|通信技术|5G概念,-92.7,2.01,24.07,8.9,0.5,2.06,10:45,0,0.5,,
2026-08-20,301166,优宁维,创业板,1,1/1,34.06,17.1,36.2,3.9,2.4,生物制品,病原体防治,17,病原体防治|单抗概念|免疫治疗,-116.3,1.85,19.22,9.9,1.35,7.02,09:37,0,0.49,,
2026-08-20,600127,金健米业,主板,4,4/4,8.6,40.8,56.6,29.7,22.2,农产品加,央国企改革,14,央国企改革|新零售|2026中报首亏,-1058.3,23.57,55.19,43.4,0.55,0.99,09:31,9,0.34,,
2026-08-20,001277,速达股份,主板,2,2/2,36.27,24.4,41.0,-11.7,-25.1,专用设备,专用设备,1,专用设备,30.7,2.22,16.52,13.6,2.23,13.51,09:30,3,0.11,,
2026-08-20,603801,志邦家居,主板,2,2/2,7.23,22.1,35.1,-19.5,-25.9,家居用品,2026中报首亏,9,转债标的|2026中报首亏|工业互联网,46.0,1.47,31.4,4.8,0.41,1.31,09:31,1,0.05,,
2026-08-20,002412,汉森制药,主板,2,2/2,9.26,26.2,51.8,30.2,40.5,中药Ⅱ,病原体防治,17,趋势股|病原体防治|中药概念,20.7,0.4,46.1,0.9,2.34,5.08,09:25,0,0.21,,
2026-08-20,002491,通鼎互联,主板,1,1/1,19.27,1.7,11.8,108.1,242.9,通信设备,2026中报扭亏,4,通信技术|5G概念|2026中报扭亏,109.9,42.35,226.71,19.1,2.36,1.04,10:00,13,13.35,,通鼎互联002491.SZ)2026年中报净利润为2.03亿元，扭亏为盈
2026-08-20,002437,誉衡药业,主板,1,10/6,4.73,11.3,67.1,42.0,29.2,化学制药,病原体防治,17,病原体防治|创新药|肝炎概念,25.6,22.22,99.34,23.0,2.54,2.56,09:48,0,5.08,,
2026-08-20,002552,宝鼎科技,主板,1,15/8,57.04,-2.8,29.0,189.2,255.8,元件,央国企改革,14,央国企改革|一带一路|黄金概念,128.4,21.28,210.19,10.5,0.66,0.31,09:52,5,3.62,,
