日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-06-10,300721,怡达股份,创业板,1,1/1,35.83,9.5,65.0,167.0,138.9,化学制品,电池技术,13,,9.74,49.57,21.7,0.73,1.48,11:19,0,,,
2026-06-10,300264,佳创视讯,创业板,1,1/1,9.34,17.5,1.3,36.7,61.0,IT服务Ⅱ,华为概念,8,,4.03,34.59,12.4,0.95,2.76,14:56,0,,,
2026-06-10,002354,天娱数科,主板,4,4/4,8.87,43.5,39.2,38.4,37.1,广告营销,趋势股,8,,29.93,144.2,21.2,1.71,1.19,09:33,5,,,
2026-06-10,002636,金安国纪,主板,3,3/3,77.42,49.7,60.0,364.8,799.7,元件,医疗器械概念,1,,29.53,560.76,5.3,1.6,0.29,09:31,8,,,
2026-06-10,603002,宏昌电子,主板,2,2/2,18.25,5.4,19.2,144.3,221.9,电子化学,趋势股,8,,36.12,206.97,17.6,0.16,0.08,09:39,32,,,
2026-06-10,002585,双星新材,主板,2,5/3,13.42,25.1,55.0,94.2,163.7,塑料,电池技术,13,,22.32,119.0,18.9,0.6,0.51,09:31,7,,,
2026-06-10,605006,山东玻纤,主板,2,2/2,21.07,22.6,28.8,187.8,205.4,玻璃玻纤,央国企改革,25,,19.45,132.4,15.0,0.65,0.49,10:35,1,,,
2026-06-10,002669,康达新材,主板,2,2/2,19.13,19.3,33.7,44.0,67.6,化学制品,央国企改革,25,,14.23,57.91,25.6,0.96,1.65,10:58,0,,,
2026-06-10,003043,华亚智能,主板,2,5/3,80.62,31.8,37.2,67.7,98.2,半导体,半导体概念,17,,10.84,67.58,16.6,0.66,0.98,14:12,0,,,
2026-06-10,605589,圣泉集团,主板,2,2/2,60.1,10.1,59.8,127.1,120.3,塑料,电池技术,13,,10.73,508.4,2.1,3.6,0.71,09:25,0,,,
2026-06-10,000048,京基智农,主板,2,2/2,17.83,23.9,17.6,33.4,9.9,养殖业,深圳特区,7,,5.25,94.37,5.6,0.44,0.46,09:30,2,,,关于控股股东协议转让公司部分股份暨权益变动的提示性公告
2026-06-10,605318,法狮龙,主板,2,2/2,116.56,26.7,22.5,124.7,340.0,装修建材,智能家居,1,,4.8,146.55,3.3,0.51,0.35,09:36,6,,,
2026-06-10,003026,中晶科技,主板,2,2/2,36.14,17.7,9.5,69.0,69.0,半导体,半导体概念,17,,4.29,52.24,8.3,1.46,2.79,09:34,0,,,
2026-06-10,002971,和远气体,主板,2,5/3,47.95,41.1,39.9,48.9,121.5,化学制品,电池技术,13,,3.56,74.99,4.8,2.89,3.85,09:30,0,,,
2026-06-10,600500,中化国际,主板,2,2/2,6.55,9.7,26.7,71.0,70.6,化学制品,央国企改革,25,,2.06,235.03,0.9,2.12,0.9,09:25,0,,,
2026-06-10,000029,深深房Ａ,主板,2,2/2,26.99,15.0,12.1,8.8,31.1,房地产开,央国企改革,25,,1.31,240.66,0.6,0.6,0.25,09:31,0,,,
2026-06-10,603065,宿迁联盛,主板,2,6/3,11.44,37.2,38.4,27.8,17.3,化学制品,化学制品,1,,0.42,47.93,0.9,2.53,5.27,09:25,0,,,宿迁联盛关于签订战略框架协议并拟设立合资公司的公告
2026-06-10,002409,雅克科技,主板,1,1/1,122.55,7.7,30.0,72.7,136.7,半导体,半导体概念,17,,39.19,390.35,10.5,1.51,0.39,11:00,4,,,
2026-06-10,600206,有研新材,主板,1,1/1,32.24,10.9,-1.6,59.2,79.2,半导体,央国企改革,25,,35.73,272.93,13.6,0.72,0.27,14:13,0,,,
2026-06-10,600378,昊华科技,主板,1,1/1,58.08,39.8,67.1,95.8,143.9,化学制品,央国企改革,25,,35.5,622.95,5.8,2.68,0.43,09:37,4,,,
2026-06-10,000970,中科三环,主板,1,3/2,14.52,29.8,13.7,10.9,24.3,金属新材,央国企改革,25,,23.87,176.52,14.1,1.36,0.77,10:19,0,,,
2026-06-10,603011,合锻智能,主板,1,1/1,31.9,3.2,43.4,45.9,71.5,专用设备,半导体概念,17,,21.3,157.72,14.2,0.9,0.57,13:06,0,,,
2026-06-10,603938,三孚股份,主板,1,6/3,59.98,26.7,68.9,236.2,332.4,化学原料,半导体概念,17,,20.29,229.5,9.1,0.78,0.34,09:46,3,,,
2026-06-10,002261,拓维信息,主板,1,1/1,30.91,3.5,-12.2,1.0,2.0,软件开发,华为概念,8,,18.5,354.26,5.4,2.87,0.81,09:50,0,,,
2026-06-10,002125,湘潭电化,主板,1,1/1,18.78,12.9,23.2,38.9,89.2,电池,央国企改革,25,,15.77,118.22,14.2,0.67,0.56,13:12,0,,,
2026-06-10,002119,康强电子,主板,1,1/1,28.36,17.6,21.8,72.5,89.1,半导体,半导体概念,17,,14.42,106.43,13.7,1.04,0.98,09:34,2,,,
2026-06-10,603687,大胜达,主板,1,1/1,19.18,1.5,12.8,118.9,161.2,包装印刷,国产芯片,8,,11.21,105.5,11.2,1.11,1.06,14:00,1,,,
