日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-06-05,300353,东土科技,创业板,1,1/1,21.94,7.5,16.4,7.3,-8.2,通信设备,机器人概念,16,,14.94,118.49,13.2,0.44,0.37,13:14,8,,,
2026-06-05,300162,雷曼光电,创业板,1,1/1,10.52,10.3,15.6,25.1,42.0,光学光电,深圳特区,2,,8.45,36.0,25.7,0.42,1.16,11:11,0,,,
2026-06-05,300626,华瑞股份,创业板,1,1/1,40.3,13.6,50.9,187.9,300.3,电机Ⅱ,央国企改革,20,,4.84,72.5,7.2,1.29,1.77,10:16,0,,,
2026-06-05,301193,家联科技,创业板,1,1/1,24.25,15.1,-4.6,16.1,58.8,家居用品,3D打印,1,,3.92,44.66,9.4,0.75,1.68,13:19,0,,,
2026-06-05,300334,津膜科技,创业板,1,1/1,9.01,22.6,10.7,18.9,37.1,环境治理,节能环保,3,,3.0,27.21,11.6,0.29,1.07,11:24,2,,,
2026-06-05,300052,中青宝,创业板,1,1/1,13.03,9.2,9.6,7.6,36.6,IT服务Ⅱ,华为概念,11,,2.7,34.12,8.1,1.22,3.57,09:32,0,,,
2026-06-05,301151,冠龙节能,创业板,1,1/1,18.22,15.0,4.8,-3.5,13.4,通用设备,节能环保,3,,1.66,30.76,5.7,0.51,1.65,13:13,0,,,
2026-06-05,600403,大有能源,主板,5,5/5,8.14,61.2,38.9,-0.2,118.2,煤炭开采,央国企改革,20,,16.82,194.61,8.9,0.17,0.09,09:36,9,,,
2026-06-05,603135,中重科技,主板,3,3/3,14.03,36.9,15.9,46.6,40.2,专用设备,机器人概念,16,,4.64,88.32,5.6,0.58,0.65,10:43,0,,,
2026-06-05,003036,泰坦股份,主板,2,10/5,82.35,16.0,133.1,380.6,543.9,专用设备,趋势股,10,,13.4,178.11,7.6,0.25,0.14,09:36,22,,,
