日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,全部题材,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-06-25,300223,北京君正,创业板,1,1/1,237.36,27.6,58.7,108.4,246.3,半导体,半导体概念,22,半导体概念|深成500|机器人概念,,126.58,1000.93,13.4,4.45,0.44,13:07,1,-10.78,,关于发行境外上市股份(H股)获中国证监会备案的公告
2026-06-25,300819,聚杰微纤,创业板,1,1/1,84.22,18.4,5.5,193.7,284.0,纺织制造,电池技术,22,电池技术|PCB|固态电池,,7.32,113.5,7.0,1.12,0.99,10:30,0,-0.08,,
2026-06-25,300650,太龙股份,创业板,1,1/1,14.86,13.9,-3.6,-13.2,5.6,其他电子,半导体概念,22,半导体概念|华为概念|存储芯片,,3.87,25.31,16.0,0.65,2.57,09:54,1,0.4,,
2026-06-25,002674,兴业科技,主板,5,5/5,26.21,46.4,65.8,86.7,173.6,纺织制造,趋势股,19,机器人概念|新能源车|趋势股,,0.76,76.68,1.0,4.44,5.79,09:25,0,0.31,,四连板兴业科技股价异动 称收购磷化铟业务尚存不确定性
2026-06-25,605366,宏柏新材,主板,3,3/3,13.07,22.0,7.2,105.2,113.2,化学制品,有机硅概念,1,有机硅概念,,1.95,101.01,1.9,1.37,1.36,09:25,0,-0.2,,宏柏新材增资至7.7亿元，增幅约22%
2026-06-25,600584,长电科技,主板,2,4/3,104.17,25.6,18.3,181.3,214.8,半导体,央国企改革,24,半导体概念|央国企改革|通信技术,,123.21,1864.03,6.7,8.77,0.47,09:38,3,-43.59,,
2026-06-25,600141,兴发集团,主板,2,4/3,47.48,24.4,42.1,38.0,137.1,农化制品,央国企改革,24,半导体概念|央国企改革|电池技术,,55.0,570.59,10.1,0.3,0.05,13:21,19,-1.65,,27家公司重要股东开启增持模式 累计增持9.09亿元（附股）
2026-06-25,002025,航天电器,主板,2,2/2,73.27,15.3,-0.3,53.1,45.9,军工电子,央国企改革,24,央国企改革|深成500|华为概念,,39.33,332.55,12.0,0.06,0.02,09:38,14,-0.91,,
2026-06-25,002080,中材科技,主板,2,12/6,92.93,15.4,25.9,137.5,419.6,玻璃玻纤,央国企改革,24,央国企改革|电池技术|锂电池概念,,34.06,1559.48,2.3,1.59,0.1,09:52,2,-1.99,,
2026-06-25,002254,泰和新材,主板,2,14/7,20.17,7.9,33.7,104.6,92.3,化学纤维,央国企改革,24,央国企改革|电池技术|军工,,22.2,171.58,13.2,0.24,0.14,09:42,11,-1.23,,
