日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,全部题材,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-08-03,300613,富瀚微,创业板,1,1/1,67.48,,,,,半导体,人工智能,10,转债标的|国产芯片|人工智能,73.0,7.56,148.25,5.1,1.45,0.98,09:30,0,2.27,,2026年半年度业绩预告
2026-08-03,301082,久盛电气,创业板,1,1/1,10.62,,,,,电网设备,核能核电,14,储能概念|核能核电,85.0,2.84,28.96,10.4,0.46,1.59,10:21,0,0.58,,
2026-08-03,300305,裕兴股份,创业板,1,1/1,6.06,,,,,塑料,破增发价股,12,破增发价股|光伏概念|转债标的,-9.2,1.94,19.48,10.6,0.2,1.05,10:44,1,0.33,,
2026-08-03,301596,瑞迪智驱,创业板,1,1/1,49.82,,,,,通用设备,西部大开发,14,西部大开发|机器人概念|核能核电,52.9,1.81,21.84,8.6,0.63,2.87,09:36,1,0.41,,
2026-08-03,301182,凯旺科技,创业板,1,1/1,60.98,,,,,计算机设,机器人概念,12,机器人概念|华为概念|充电桩,-51.5,1.04,53.29,2.0,0.65,1.22,09:31,0,0.43,,
2026-08-03,300615,欣天科技,创业板,1,1/1,10.43,,,,,通信设备,2026中报首亏,10,新能源车|充电桩|2026中报首亏,-52.3,0.13,15.97,0.8,2.45,15.37,09:25,0,0.09,,关于控股股东、实际控制人及相关方签署股份转让协议暨控制权拟发生变更的提示性公告
2026-08-03,003032,传智教育,主板,6,6/6,9.69,,,,,教育,华为概念,7,华为概念|在线教育|近期摘帽,-46.6,0.79,27.57,2.9,1.99,7.21,09:25,0,0.17,,
2026-08-03,605179,一鸣食品,主板,5,5/5,21.31,,,,,饮料乳品,电商概念,2,乡村振兴|电商概念|冷链物流,159.1,7.71,85.45,9.6,0.03,0.03,14:44,0,-0.12,,
2026-08-03,002827,高争民爆,主板,4,4/4,38.06,,,,,化学制品,央国企改革,17,央国企改革|西部大开发|反转股,55.5,3.16,105.05,3.0,1.27,1.21,09:30,0,0.52,,
2026-08-03,000820,神雾节能,主板,3,3/3,3.87,,,,,环保设备,破增发价股,12,破增发价股|节能环保|近期摘帽,-39.5,2.6,11.49,22.7,0.1,0.85,09:34,8,-0.56,,
2026-08-03,002131,利欧股份,主板,2,2/2,5.13,,,,,通用设备,人工智能,10,华为概念|新能源车|人工智能,-807.5,70.01,300.35,24.0,1.98,0.66,10:08,22,0.95,,
2026-08-03,000815,美利云,主板,2,11/6,16.7,,,,,IT服务Ⅱ,央国企改革,17,央国企改革|西部大开发|光伏概念,149.1,15.26,116.11,13.3,0.94,0.81,09:33,6,2.2,,
2026-08-03,002354,天娱数科,主板,2,2/2,7.16,,,,,广告营销,破增发价股,12,破增发价股|人工智能|人形机器人,-496.7,8.99,116.4,7.7,2.49,2.14,09:25,2,1.02,,
2026-08-03,000967,盈峰环境,主板,2,2/2,8.64,,,,,环保设备,核能核电,14,机器人概念|新能源|核能核电,49.8,7.25,290.1,2.5,0.99,0.34,09:32,0,1.26,,盈峰环境：拟1亿元至2亿元回购公司股份
2026-08-03,002896,中大力德,主板,2,2/2,71.76,,,,,通用设备,机器人概念,12,机器人概念|减速器|人形机器人,250.2,5.35,141.02,3.8,2.12,1.5,09:31,1,0.8,,
2026-08-03,603682,锦和商管,主板,2,2/2,10.56,,,,,一般零售,新型城镇化,1,新型城镇化,-30.5,3.77,49.9,7.6,0.02,0.03,09:31,4,-0.16,,
2026-08-03,000595,新能股份,主板,2,9/5,5.96,,,,,电力,央国企改革,17,央国企改革|西部大开发|光伏概念,71.4,3.27,67.86,5.0,0.65,0.96,09:43,2,0.28,,
2026-08-03,003001,中岩大地,主板,2,12/6,21.16,,,,,专业工程,核能核电,14,人工智能|核能核电|2026中报首亏,366.8,1.76,24.2,7.4,0.76,3.14,09:30,0,0.22,,8台核电机组获核准！核电板块逆市爆发，中国核建等多股涨停
2026-08-03,001223,欧克科技,主板,2,6/3,36.17,,,,,自动化设,机器人概念,12,机器人概念|电池技术|锂电池概念,152.0,1.2,25.26,4.9,0.56,2.22,13:00,0,0.19,,
2026-08-03,603261,立航科技,主板,2,2/2,49.93,,,,,航空装备,西部大开发,14,西部大开发|机器人概念|军工,-18.0,0.98,38.7,2.6,0.02,0.05,09:31,4,-0.08,,
