日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,全部题材,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-06-29,301307,美利信,创业板,1,1/1,69.48,16.0,19.2,90.7,190.2,通信设备,半导体概念,21,半导体概念|西部大开发|新能源车,-26.1,14.17,75.58,19.4,0.52,0.69,09:54,12,0.13,,
2026-06-29,300436,广生堂,创业板,1,1/1,106.56,21.4,-5.9,17.1,208.5,化学制药,创新药,17,病原体防治|医药医疗风格|创新药,-78.8,13.63,145.69,9.9,1.03,0.71,10:12,0,2.59,,
2026-06-29,300204,舒泰神,创业板,1,1/1,23.28,14.6,-9.7,-16.3,-33.3,化学制药,创新药,17,创新药|单抗概念,-132.6,12.13,105.61,12.3,0.84,0.79,10:45,0,2.55,,
2026-06-29,301528,多浦乐,创业板,1,1/1,74.4,14.9,58.8,53.9,108.9,通用设备,医疗器械概念,6,医疗器械概念|趋势股,111.1,4.23,34.41,13.2,0.59,1.71,13:43,0,0.1,,
2026-06-29,300434,金石亚药,创业板,1,1/1,10.81,20.6,10.4,3.9,15.9,化学制药,破增发价股,15,西部大开发|破增发价股|病原体防治,23.5,3.91,36.98,11.3,1.05,2.84,13:03,0,0.68,,
2026-06-29,301033,迈普医学,创业板,1,1/1,54.19,10.7,10.5,-20.1,-3.6,医疗器械,医疗器械概念,6,医疗器械概念|3D打印|人脑工程,33.1,1.49,30.54,5.3,0.32,1.05,13:26,0,0.22,,关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易事项获得深圳证券交易所并购重组审核委员会审核通过的公告
2026-06-29,301520,万邦医药,创业板,1,1/1,28.26,15.6,6.7,-0.6,-4.5,医疗服务,创新药,17,减肥药|创新药|CRO,108.2,0.68,9.24,7.4,1.07,11.59,09:25,1,0.14,,关于公司控制的合伙企业认购私募基金份额的进展公告
2026-06-29,603956,威派格,主板,3,7/4,6.41,24.0,12.7,1.3,-6.7,专用设备,破增发价股,15,破增发价股|华为概念|物联网,-25.2,4.42,36.53,12.4,0.18,0.48,09:39,6,0.52,,
2026-06-29,603650,彤程新材,主板,2,4/3,94.41,36.5,80.9,114.8,205.8,橡胶,存储芯片,6,光刻机(胶)|降解塑料|存储芯片,99.5,56.57,580.12,9.9,0.41,0.07,09:31,4,2.17,,
2026-06-29,603163,圣晖集成,主板,2,2/2,149.14,35.3,44.8,101.4,445.3,专业工程,半导体概念,21,半导体概念|工程建设,90.8,12.34,149.14,8.5,0.82,0.55,10:01,2,1.01,,
