日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,全部题材,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-07-30,300996,普联软件,创业板,1,1/1,15.52,27.8,42.5,24.4,15.4,软件开发,破增发价股,12,破增发价股|华为概念|人工智能,65.5,7.05,51.7,14.0,0.25,0.48,09:33,0,1.0,,关于筹划公司控制权变更事项暨继续停牌的公告
2026-07-30,301667,纳百川,创业板,1,1/1,65.82,15.9,-8.9,-10.4,,汽车零部,新能源车,7,新能源车|储能概念|汽车热管理,82.6,2.54,15.62,17.3,0.74,4.71,10:05,0,0.68,,
2026-07-30,300894,火星人,创业板,1,1/1,11.8,23.6,-6.1,1.1,-17.9,厨卫电器,转债标的,2,转债标的|网红经济,-16.2,2.19,34.7,6.7,0.19,0.54,10:47,1,0.51,,关于部分限制性股票回购注销完成的公告
2026-07-30,301668,昊创瑞通,创业板,1,1/1,37.26,20.1,13.3,-27.2,,电网设备,电网概念,2,电网概念|智能电网,51.3,2.01,9.06,23.3,0.32,3.48,10:00,2,0.53,,
2026-07-30,301449,天溯计量,创业板,1,1/1,39.08,22.0,1.0,-29.7,,专业服务,电池技术,7,电池技术|新能源车|储能概念,38.4,1.81,8.03,23.9,0.32,4.04,13:20,0,0.39,,
2026-07-30,603221,爱丽家居,主板,8,8/8,20.49,61.0,107.6,58.8,81.2,家居用品,电商概念,4,长江三角|电商概念|2026中报首亏,-250.4,0.68,49.64,1.4,3.07,6.19,09:25,0,0.14,,跨界收购存储测试企业！603221狂收8连板 频发风险提示
2026-07-30,003032,传智教育,主板,4,4/4,8.01,43.0,55.5,22.9,23.0,教育,华为概念,8,华为概念|在线教育|2026中报扭亏,-38.5,1.97,22.79,8.8,1.08,4.74,09:30,0,0.15,,
2026-07-30,605068,明新旭腾,主板,4,4/4,20.59,45.0,23.0,-26.9,12.9,汽车零部,机器人概念,2,机器人概念|转债标的|华为汽车,-300.9,1.23,33.4,3.7,0.44,1.32,09:30,1,-0.05,,明新旭腾澄清：目前机器人业务仅处于研发阶段，未产生实质性订单
2026-07-30,605179,一鸣食品,主板,3,3/3,17.61,27.6,40.1,-16.3,-13.1,饮料乳品,电商概念,4,电商概念|新零售|味蕾经济,131.5,0.49,70.62,0.7,1.59,2.25,09:25,0,0.25,,
2026-07-30,603556,海兴电力,主板,2,2/2,26.99,15.3,27.3,-30.3,1.7,电网设备,储能概念,4,一带一路|储能概念|充电桩,19.3,6.54,131.24,5.2,1.0,0.76,13:49,0,0.99,,
2026-07-30,002882,金龙羽,主板,2,2/2,21.62,24.2,14.5,-30.9,-32.2,电网设备,电池技术,7,电池技术|锂电池概念|充电桩,120.8,3.31,53.35,6.3,0.56,1.04,09:30,1,0.58,,
2026-07-30,600228,返利科技,主板,2,2/2,7.33,25.7,-21.2,32.8,76.2,数字媒体,人工智能,6,电商概念|人工智能|互联网服务,-48.2,1.72,30.5,5.8,0.63,2.07,09:37,0,0.45,,
2026-07-30,601003,柳钢股份,主板,2,2/2,4.19,17.0,24.3,-20.8,-34.0,普钢,央国企改革,13,央国企改革|西部大开发|养老概念,25.4,1.55,107.38,1.5,0.42,0.4,09:33,0,0.44,,
2026-07-30,605388,均瑶健康,主板,2,2/2,6.12,26.4,26.7,-13.6,-24.3,饮料乳品,味蕾经济,4,味蕾经济|婴童概念|乳业,-19.1,0.9,36.75,2.5,0.26,0.7,09:30,0,0.07,,
2026-07-30,002827,高争民爆,主板,2,2/2,31.45,23.6,30.3,-10.4,-40.0,化学制品,央国企改革,13,央国企改革|西部大开发|反转股,45.9,0.52,86.8,0.6,2.47,2.85,09:25,0,0.09,,
2026-07-30,001309,德明利,主板,1,1/1,390.04,-10.3,-58.6,44.5,360.5,半导体,信创,3,通信技术|信创|2026中报扭亏,21.6,113.66,643.68,18.6,7.16,1.11,13:22,1,14.54,,
2026-07-30,000566,海南海药,主板,1,12/6,5.95,16.9,19.2,-7.6,-9.2,化学制药,央国企改革,13,央国企改革|破增发价股|创投,-17.6,21.27,77.16,28.2,0.23,0.29,09:46,8,2.93,,
