日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,全部题材,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-07-20,300534,陇神戎发,创业板,1,1/1,12.04,33.8,64.3,21.9,18.0,中药Ⅱ,央国企改革,31,央国企改革|西部大开发|创新药,74.0,12.46,36.37,37.4,0.07,0.2,10:50,1,0.92,,
2026-07-20,300368,汇金股份,创业板,1,1/1,9.41,31.1,9.4,-34.7,-10.1,计算机设,央国企改革,31,央国企改革|华为概念|数据中心,-30.2,4.68,49.77,9.7,0.73,1.46,09:39,0,1.95,,
2026-07-20,301190,善水科技,创业板,1,1/1,17.42,17.4,-3.7,-23.9,-23.3,化学原料,参股银行,2,参股银行|病原体防治|幽门螺杆菌概念,40.2,2.08,24.93,8.8,0.43,1.71,13:17,0,0.33,,2026年半年度业绩预告的公告
2026-07-20,300515,三德科技,创业板,1,1/1,14.86,19.3,2.6,-30.0,-38.6,通用设备,物联网,1,物联网,16.2,0.89,29.98,3.0,0.41,1.35,09:30,0,0.45,,2026年半年度业绩预告
2026-07-20,001258,立新能源,主板,3,3/3,9.1,40.2,23.8,19.0,25.7,电力,央国企改革,31,央国企改革|风能|光伏概念,84.3,7.34,84.93,8.8,1.33,1.56,09:31,2,0.18,,
2026-07-20,600744,华银电力,主板,2,2/2,6.56,22.8,-7.3,-5.5,-18.2,电力,央国企改革,31,央国企改革|风能|光伏概念,92.3,11.26,133.24,8.6,0.18,0.14,09:35,1,1.51,,
2026-07-20,000722,湖南发展,主板,2,4/3,15.21,41.6,5.9,21.2,15.8,电力,央国企改革,31,央国企改革|绿色电力|光伏概念,107.3,11.01,70.6,16.2,0.03,0.05,14:44,6,-0.31,,
2026-07-20,600227,赤天化,主板,2,5/4,3.37,39.8,28.1,37.6,42.2,农化制品,西部大开发,4,西部大开发|参股银行|2026中报扭亏,-22.0,9.4,43.06,23.0,0.0,0.0,15:00,1,-0.52,,
2026-07-20,600236,桂冠电力,主板,2,2/2,11.68,22.8,27.0,47.0,86.7,电力,央国企改革,31,央国企改革|绿色电力|风能,25.6,8.49,920.66,0.9,0.01,0.0,11:00,12,0.24,,
2026-07-20,000037,深南电A,主板,2,2/2,10.12,26.2,-2.1,12.3,5.0,电力,储能概念,3,储能概念|核能核电|2026中报扭亏,32.9,7.47,34.3,22.6,0.02,0.05,14:45,2,0.17,,
2026-07-20,600644,乐山电力,主板,2,2/2,9.91,29.4,8.8,-13.6,-35.9,电力,光伏概念,11,绿色电力|光伏概念|新能源,251.9,6.71,57.31,12.0,0.03,0.04,09:32,2,0.35,,
2026-07-20,600722,金牛化工,主板,2,2/2,9.38,20.3,8.3,44.5,54.8,化学原料,央国企改革,31,央国企改革|京津冀|煤化工概念,134.2,4.52,63.81,7.2,0.06,0.09,09:35,0,0.71,,
2026-07-20,600396,华电辽能,主板,1,1/1,12.82,10.4,-21.7,320.3,248.4,电力,央国企改革,31,央国企改革|绿色电力|风能,465.6,34.23,188.8,19.2,0.05,0.02,14:42,0,3.54,,
2026-07-20,600938,中国海油,主板,1,1/1,31.87,10.6,5.5,10.1,29.0,油气开采,央国企改革,31,央国企改革|绿色电力|风能,12.2,29.98,952.91,3.2,0.05,0.01,11:29,2,2.57,,
2026-07-20,603823,百合花,主板,1,1/1,77.2,17.0,65.3,323.2,471.4,化学制品,趋势股,2,电池技术|锂电池概念|趋势股,195.9,23.99,321.44,7.9,0.01,0.0,14:49,0,1.38,,
2026-07-20,600863,华能蒙电,主板,1,1/1,5.02,5.7,-6.3,7.7,23.0,电力,央国企改革,31,央国企改革|风能|光伏概念,17.4,16.15,327.65,5.1,0.01,0.0,13:13,4,2.08,,
2026-07-20,600188,兖矿能源,主板,1,1/1,20.79,15.7,7.3,50.0,70.8,煤炭开采,央国企改革,31,央国企改革|反内卷概念|HS300_,20.5,15.08,1239.37,1.2,0.03,0.0,13:10,4,1.87,,白酒、煤炭等领涨、电力板块集体反弹 多只个股盘前宣布增持
2026-07-20,600578,京能电力,主板,1,1/1,5.72,5.0,-22.9,4.4,32.4,电力,央国企改革,31,央国企改革|风能|新能源,10.8,14.05,382.93,3.8,0.01,0.0,13:18,1,1.72,,关于公司2026年度向特定对象发行A股股票构成关联交易暨签订附条件生效的股份认购协议及资产购买协议的公告
2026-07-20,601898,中煤能源,主板,1,1/1,13.79,7.1,2.1,5.3,27.5,煤炭开采,央国企改革,31,央国企改革|反内卷概念|HS300_,10.3,12.7,1262.06,1.0,0.02,0.0,10:33,6,0.11,,中国中煤能源股份有限公司关于控股股东增持公司股份计划的公告
2026-07-20,600267,海正药业,主板,1,1/1,12.45,9.9,26.4,20.4,1.3,化学制药,央国企改革,31,央国企改革|破增发价股|趋势股,20.9,12.28,146.94,8.5,0.01,0.0,09:53,4,0.27,,
2026-07-20,000767,晋控电力,主板,1,1/1,3.76,13.9,-18.1,24.9,18.2,电力,央国企改革,31,央国企改革|风能|光伏概念,58.3,12.1,109.5,11.4,0.51,0.46,10:02,2,2.9,,
2026-07-20,002440,闰土股份,主板,1,1/1,11.78,19.0,17.9,50.6,54.7,化学制品,化学制品,1,化学制品,16.4,11.43,111.48,10.6,0.41,0.37,11:17,2,1.62,,
2026-07-20,600126,杭钢股份,主板,1,1/1,6.23,9.3,-10.3,-28.0,-31.9,普钢,央国企改革,31,央国企改革|反内卷概念|云计算,306.1,10.86,210.4,5.2,0.03,0.01,09:38,2,3.16,,上半年钢铁市场承压 逾六成钢企业绩预亏
2026-07-20,000596,古井贡酒,主板,1,4/2,93.83,24.2,19.8,-26.7,-30.6,白酒Ⅱ,央国企改革,31,央国企改革|破增发价股|HS300_,17.6,10.45,383.39,2.8,0.31,0.08,09:54,4,2.14,,白酒、煤炭等领涨、电力板块集体反弹 多只个股盘前宣布增持
2026-07-20,000539,粤电力Ａ,主板,1,1/1,5.84,-0.7,-21.1,24.0,20.4,电力,央国企改革,31,央国企改革|风能|光伏概念,36.9,9.55,149.23,6.6,0.87,0.58,10:11,3,2.15,,抢权行情能否上演？ 这些股即将实施分红
2026-07-20,600452,涪陵电力,主板,1,1/1,10.0,11.6,0.4,-5.8,9.6,电力,央国企改革,31,央国企改革|西部大开发|节能环保,35.6,8.29,153.65,5.5,0.02,0.01,09:50,5,1.61,,白酒、煤炭等领涨、电力板块集体反弹 多只个股盘前宣布增持
2026-07-20,000600,建投能源,主板,1,1/1,8.98,16.2,-8.6,1.4,20.7,电力,央国企改革,31,央国企改革|风能|光伏概念,8.0,7.72,97.89,8.1,0.04,0.04,13:22,2,1.01,,
2026-07-20,600032,浙江新能,主板,1,1/1,7.78,20.2,0.3,-1.7,1.6,电力,央国企改革,31,央国企改革|风能|光伏概念,41.5,7.08,187.08,4.0,0.0,0.0,14:55,0,0.44,,
2026-07-20,600726,华电能源,主板,1,1/1,5.83,1.2,-26.0,133.2,124.2,电力,央国企改革,31,央国企改革|AB股,142.0,7.06,435.81,1.7,0.06,0.01,09:55,0,2.18,,
2026-07-20,600797,浙大网新,主板,1,1/1,6.85,10.5,-3.1,-36.3,-28.9,IT服务Ⅱ,破增发价股,5,破增发价股|人工智能|云计算,-97.3,6.35,70.39,9.1,0.02,0.02,09:43,6,2.25,,
2026-07-20,600821,金开新能,主板,1,1/1,6.24,-1.9,-4.7,14.5,12.0,电力,央国企改革,31,央国企改革|风能|光伏概念,-320.4,5.18,122.76,4.4,0.03,0.02,09:55,1,1.68,,
2026-07-20,603619,中曼石油,主板,1,1/1,19.51,3.9,-13.0,-23.6,4.1,油服工程,机器人概念,3,机器人概念|一带一路|天然气,29.0,4.8,90.2,5.4,0.03,0.03,09:39,0,1.46,,
