日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,全部题材,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-07-06,300684,中石科技,创业板,1,1/1,74.41,32.8,31.2,52.1,206.4,电子化学,通信技术,10,华为概念|通信技术|5G概念,65.2,33.57,152.02,22.8,0.1,0.07,09:50,10,2.94,,
2026-07-06,301191,菲菱科思,创业板,1,1/1,135.01,39.2,39.0,71.8,131.7,通信设备,通信技术,10,华为概念|通信技术|数据中心,178.3,17.0,98.64,18.9,1.28,1.29,13:39,0,2.07,,
2026-07-06,301317,鑫磊股份,创业板,1,1/1,62.21,11.0,-2.3,89.2,89.8,通用设备,中俄贸易概念,1,中俄贸易概念|空气能热泵,-74.1,3.68,32.47,12.1,0.72,2.21,13:06,0,0.4,,
2026-07-06,603137,恒尚节能,主板,5,5/5,18.94,46.4,55.9,34.8,29.0,装修装饰,节能环保,4,节能环保|新型城镇化,-74.7,0.14,34.65,0.4,3.49,10.07,09:25,0,0.04,,
2026-07-06,600793,宜宾纸业,主板,4,10/5,17.61,46.4,30.4,-16.4,-39.5,造纸,央国企改革,14,央国企改革|西部大开发|成渝特区,-213.9,3.21,31.15,10.5,0.17,0.55,09:36,9,0.45,,宜宾纸业：四川普什醋酸纤维素有限责任公司收到相关客户预付货款38.2万元，暂未签订正式合同
2026-07-06,000656,金科股份,主板,3,3/3,1.43,31.2,2.1,-1.4,-3.4,房地产开,成渝特区,2,成渝特区|婴童概念,0.5,7.51,108.5,6.9,1.02,0.94,09:25,4,-0.5,,
2026-07-06,002396,星网锐捷,主板,2,5/4,25.74,47.7,20.7,6.9,53.0,通信设备,央国企改革,14,央国企改革|华为概念|通信技术,48.5,11.55,194.96,5.9,2.01,1.03,09:25,1,1.73,,2026年半年度业绩预告
2026-07-06,002141,贤丰控股,主板,2,14/8,5.65,9.1,79.9,51.5,37.1,元件,电池技术,8,电池技术|锂电池概念|创投,510.5,10.03,58.36,17.4,0.41,0.71,09:32,7,1.22,,
2026-07-06,603211,晋拓股份,主板,2,5/3,39.53,22.5,43.6,72.0,124.5,汽车零部,机器人概念,6,机器人概念|新能源车|趋势股,171.8,5.39,107.45,5.1,0.12,0.11,09:32,4,0.1,,
2026-07-06,002767,先锋电子,主板,2,2/2,19.84,19.6,7.0,-12.0,13.5,通用设备,华为概念,8,华为概念|天然气|物联网,117.8,0.38,25.83,1.5,0.34,1.33,09:30,0,0.13,,
2026-07-06,603722,阿科力,主板,2,2/2,43.56,10.0,23.3,9.6,1.8,化学制品,电池技术,8,电池技术|虚拟现实|燃料电池概念,-98.1,0.26,41.69,0.6,2.19,5.25,09:25,0,0.14,,关于无锡阿科力科技股份有限公司控制权变更事项的监管工作函
2026-07-06,000938,紫光股份,主板,1,1/1,33.31,26.9,19.8,32.3,41.2,IT服务Ⅱ,通信技术,10,深成500|通信技术|5G概念,44.8,99.34,952.69,11.0,3.94,0.41,13:46,0,15.72,,
2026-07-06,600172,黄河旋风,主板,1,3/2,18.55,14.8,38.1,218.2,335.4,通用设备,央国企改革,14,央国企改革|节能环保|培育钻石,-30.4,52.48,236.75,22.6,1.05,0.45,09:46,3,12.7,,
2026-07-06,000066,中国长城,主板,1,1/1,18.82,-0.9,10.4,28.7,31.2,计算机设,央国企改革,14,央国企改革|电池技术|华为概念,3009.3,37.29,607.05,6.4,3.05,0.5,13:12,0,10.0,,
2026-07-06,002245,蔚蓝锂芯,主板,1,1/1,22.37,21.2,8.8,85.4,146.0,电池,电池技术,8,机器人概念|电池技术|锂电池概念,50.0,30.23,359.4,8.5,1.72,0.48,09:30,1,7.16,,
2026-07-06,002025,航天电器,主板,1,1/1,92.07,28.3,42.1,78.2,87.2,军工电子,央国企改革,14,央国企改革|华为概念|通信技术,221.7,25.22,417.88,6.4,3.02,0.72,11:12,0,3.5,,
2026-07-06,603268,松发股份,主板,1,1/1,163.35,19.2,15.0,94.8,306.3,航海装备,贬值受益,6,并购重组概念|贬值受益|先进制造风格,45.4,22.68,381.01,6.0,0.61,0.16,09:44,11,1.2,,
2026-07-06,600246,万通发展,主板,1,1/1,16.91,-8.4,-2.8,34.6,165.9,房地产开,通信技术,10,通信技术|5G概念|国产芯片,-44.9,20.86,319.67,6.9,1.25,0.39,11:29,0,1.32,,
2026-07-06,000301,东方盛虹,主板,1,1/1,13.81,22.2,16.5,29.1,64.6,炼化及贸,深成500,4,深成500|光伏概念|创投,74.5,15.86,912.62,1.8,0.52,0.06,14:11,2,-0.07,,2026年半年度业绩预告
2026-07-06,002815,崇达技术,主板,1,1/1,16.36,2.8,-7.9,18.5,44.0,元件,通信技术,10,通信技术|5G概念|数据中心,83.7,12.52,127.14,10.0,0.98,0.77,09:43,3,4.06,,
2026-07-06,603757,大元泵业,主板,1,1/1,79.19,12.5,46.2,74.2,265.6,通用设备,电池技术,8,电池技术|液冷概念|燃料电池概念,126.3,12.22,147.73,8.5,0.81,0.55,09:45,1,2.21,,
2026-07-06,001287,中电港,主板,1,1/1,31.47,8.2,14.2,37.2,74.0,其他电子,央国企改革,14,央国企改革|深成500|人工智能,66.8,9.57,239.14,4.0,0.97,0.4,09:31,0,3.07,,中电港：预计2026年上半年净利同比增长176.43%-193.01%
2026-07-06,603118,共进股份,主板,1,1/1,13.42,21.9,0.3,14.8,20.8,通信设备,央国企改革,14,央国企改革|华为概念|通信技术,132.2,9.15,105.65,9.1,1.26,1.19,13:41,0,2.05,,
2026-07-06,002860,星帅尔,主板,1,1/1,17.56,21.3,33.3,27.1,38.0,家电零部,通信技术,10,新能源车|通信技术|5G概念,32.1,7.24,60.4,12.4,0.66,1.09,13:03,5,0.64,,
2026-07-06,603269,海鸥股份,主板,1,1/1,17.53,9.3,12.5,91.7,171.0,通用设备,数据中心,5,节能环保|氢能源|数据中心,63.6,7.23,75.72,9.8,0.33,0.43,09:38,4,1.59,,海鸥股份实控人拟减持3%，业绩增速创近年新高，股价近一年涨超140%
2026-07-06,002457,青龙管业,主板,1,1/1,14.07,13.0,15.3,29.7,18.8,装修建材,西部大开发,9,西部大开发|参股银行|新型城镇化,36.5,7.22,46.89,16.1,0.59,1.25,14:22,1,1.51,,
2026-07-06,603931,格林达,主板,1,1/1,59.74,4.3,3.7,88.1,129.7,电子化学,光伏概念,4,半导体概念|光伏概念|国产芯片,99.3,6.48,119.22,5.7,0.15,0.13,11:18,1,0.73,,
2026-07-06,603903,中持股份,主板,1,1/1,15.57,19.3,26.0,9.9,99.6,环境治理,节能环保,4,节能环保|PPP模式|雄安新区,-43.4,6.2,39.75,15.8,0.19,0.49,09:40,5,0.46,,
2026-07-06,603477,巨星农牧,主板,1,1/1,16.73,15.1,15.4,-2.9,-22.0,养殖业,西部大开发,9,西部大开发|破增发价股|转债标的,-19.2,5.75,85.33,6.9,0.26,0.31,13:21,1,1.07,,
2026-07-06,601101,昊华能源,主板,1,1/1,12.54,15.4,-5.6,80.2,84.1,煤炭开采,央国企改革,14,央国企改革|煤化工概念|反内卷概念,32.5,4.97,180.58,2.9,0.53,0.29,14:49,0,0.21,,
2026-07-06,603067,振华股份,主板,1,1/1,48.73,15.8,34.3,53.8,214.0,化学原料,电池技术,8,电池技术|锂电池概念|储能概念,55.5,4.95,368.17,1.4,1.66,0.45,09:33,0,1.48,,
2026-07-06,605060,XD联德股,主板,1,1/1,57.52,8.0,16.3,50.2,198.3,通用设备,数据中心,5,风能|数据中心|物联网,56.7,4.73,137.44,3.5,1.01,0.74,09:37,1,1.1,,41只股即将分红 抢权行情能否开启？
2026-07-06,600470,六国化工,主板,1,4/2,6.69,12.6,21.9,11.3,9.5,农化制品,煤化工概念,2,化工原料|煤化工概念,-7.3,4.17,34.9,12.2,0.34,0.99,09:53,3,1.48,,
2026-07-06,000593,德龙汇能,主板,1,1/1,24.66,23.9,21.9,124.8,304.3,燃气Ⅱ,西部大开发,9,西部大开发|天然气|储能概念,279.4,4.15,88.4,4.9,0.98,1.11,09:44,0,1.13,,
2026-07-06,603090,宏盛股份,主板,1,1/1,54.8,9.3,-13.7,-2.6,129.3,通用设备,贬值受益,6,新能源车|液冷概念|贬值受益,72.0,3.76,54.8,6.9,0.32,0.59,09:52,5,0.95,,
2026-07-06,603155,新亚强,主板,1,1/1,29.57,6.1,49.0,72.8,86.8,化学制品,央国企改革,14,央国企改革|锂电池概念|趋势股,109.8,3.64,93.38,3.9,0.23,0.25,09:37,0,1.09,,中报净利预增超9倍！东岳硅材盘中20cm涨停 有机硅板块爆发
2026-07-06,600288,大恒科技,主板,1,1/1,14.14,14.4,4.7,-6.9,38.6,软件开发,通信技术,10,通信技术|人工智能|虚拟现实,37.8,3.2,61.76,5.3,0.37,0.59,11:26,0,0.61,,
2026-07-06,002910,庄园牧场,主板,1,1/1,12.22,10.7,28.1,9.3,28.5,饮料乳品,央国企改革,14,央国企改革|西部大开发|乡村振兴,-29.9,3.08,20.9,15.4,1.74,8.31,13:00,0,-0.02,,
2026-07-06,002793,罗欣药业,主板,1,1/1,4.74,18.2,13.1,-3.7,-3.1,化学制药,医疗器械概念,1,医疗器械概念|病原体防治|创新药,-19.1,2.82,51.47,5.6,0.19,0.36,10:07,3,0.6,,
2026-07-06,603861,白云电器,主板,1,1/1,13.82,1.7,-23.2,8.0,45.6,电网设备,华为概念,8,破增发价股|华为概念|数据中心,37.1,2.66,73.05,3.7,0.88,1.2,09:49,0,0.95,,白云电器关于股份回购进展及实施结果暨股份变动的公告
2026-07-06,603375,盛景微,主板,1,1/1,50.91,6.2,7.9,36.3,37.3,半导体,机器人概念,6,机器人概念|新能源车|国产芯片,608.7,2.58,32.47,8.4,0.11,0.35,13:47,0,0.18,,
2026-07-06,002828,贝肯能源,主板,1,1/1,11.46,8.2,23.1,6.9,11.3,油服工程,西部大开发,9,西部大开发|一带一路|天然气,-41.0,2.27,23.03,10.0,0.85,3.7,09:36,0,0.78,,
2026-07-06,600215,派斯林,主板,1,1/1,6.88,21.1,3.6,-2.4,-5.1,自动化设,机器人概念,6,机器人概念|特斯拉概念,-8.8,2.18,31.43,7.1,0.24,0.76,09:40,1,0.6,,
2026-07-06,002329,皇氏集团,主板,1,4/2,3.27,21.6,-8.1,-16.4,-8.9,饮料乳品,西部大开发,9,西部大开发|光伏概念|一带一路,-6.0,2.17,21.31,10.4,0.31,1.45,09:47,1,0.78,,
2026-07-06,600791,京能置业,主板,1,1/1,8.92,-8.1,-39.5,93.5,88.6,房地产开,央国企改革,14,央国企改革|京津冀|参股银行,-3.6,2.13,40.35,5.5,0.25,0.61,13:05,0,0.14,,
2026-07-06,002919,名臣健康,主板,1,1/1,22.06,20.0,4.5,-1.3,33.4,游戏Ⅱ,虚拟现实,3,虚拟现实|网络游戏|元宇宙概念,237.1,2.05,58.28,3.7,0.3,0.51,14:31,0,0.25,,
2026-07-06,605196,华通线缆,主板,1,1/1,29.15,10.7,-25.5,-17.4,63.6,电网设备,贬值受益,6,光伏概念|贬值受益|工业互联,48.3,1.96,147.2,1.4,0.76,0.52,09:35,0,0.82,,
2026-07-06,002607,中公教育,主板,1,4/2,2.09,15.5,-3.7,-24.3,-30.8,教育,人工智能,5,深成500|人工智能|AIGC概念,229.3,1.89,115.86,1.6,2.92,2.52,09:25,0,0.64,,
2026-07-06,000892,欢瑞世纪,主板,1,3/2,3.76,14.3,-4.1,-48.4,-21.3,影视院线,西部大开发,9,西部大开发|破增发价股|人工智能,-12.8,1.88,26.73,7.2,0.51,1.91,09:35,0,1.09,,
2026-07-06,603819,神力股份,主板,1,1/1,13.6,22.5,9.9,15.4,0.4,电机Ⅱ,风能,2,风能|军工|安防概念,113.2,1.83,29.61,6.2,0.18,0.62,09:44,6,0.5,,
2026-07-06,605377,华旺科技,主板,1,1/1,9.7,1.9,15.6,14.7,16.2,造纸,造纸印刷,1,造纸印刷,21.1,1.76,54.0,3.4,0.23,0.43,11:15,1,0.43,,
2026-07-06,002989,中天精装,主板,1,1/1,33.52,1.5,15.2,9.1,1.3,装修装饰,央国企改革,14,央国企改革|转债标的|深圳特区,-37.8,1.72,66.31,2.6,0.97,1.46,09:37,0,0.52,,
