日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,全部题材,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-08-10,301080,百普赛斯,创业板,2,2/2,77.7,72.7,53.6,56.5,51.4,生物制品,病原体防治,3,病原体防治|重组蛋白|AI制药（医疗）,76.1,22.65,98.55,23.3,0.04,0.04,09:30,30,-0.26,,9.25亿主力资金净流入，重组蛋白概念涨6.61%
2026-08-10,301357,北方长龙,创业板,1,1/1,113.23,23.7,42.5,-13.2,-20.2,地面兵装,西部大开发,17,西部大开发|军工|无人机,501.6,12.04,107.79,12.3,0.42,0.39,14:55,0,1.83,,
2026-08-10,301051,信濠光电,创业板,1,1/1,20.72,56.6,0.6,45.1,21.1,消费电子,深圳特区,2,深圳特区,-23.5,5.25,46.79,11.9,0.3,0.64,13:41,1,0.43,,
2026-08-10,300862,蓝盾光电,创业板,1,1/1,22.81,20.0,21.0,-2.5,-15.2,通用设备,华为概念,7,华为概念|节能环保|智慧城市,-44.3,0.2,34.55,0.6,10.76,31.15,09:25,0,0.07,,蓝盾光电：拟收购真空镀膜设备商苏州岚创科技，标的2026年上半年净利1.02亿元
2026-08-10,002552,宝鼎科技,主板,5,7/6,52.36,61.1,-13.2,150.0,227.5,元件,央国企改革,31,央国企改革|一带一路|黄金概念,117.9,12.35,192.95,6.5,1.3,0.67,09:25,3,-0.07,,
2026-08-10,600721,百花医药,主板,5,5/5,11.59,61.0,70.4,24.6,44.2,医疗服务,央国企改革,31,央国企改革|西部大开发|创新药,167.5,0.59,44.57,1.3,0.37,0.82,09:25,0,0.27,,600721两分钟涨停！创新药概念股霸屏 业绩预喜股来了
2026-08-10,600272,开开实业,主板,3,3/3,14.27,32.3,32.3,2.5,2.3,医药商业,央国企改革,31,央国企改革|长江三角|电商概念,162.9,0.84,22.83,3.7,0.04,0.19,09:25,0,0.18,,关于授权全资子公司上海雷允上药业西区有限公司收购其控股子公司上海雷西精益供应链管理有限公司少数股东股权的进展公告
2026-08-10,000506,招金黄金,主板,2,2/2,19.94,35.6,45.1,0.0,90.8,贵金属,央国企改革,31,央国企改革|小金属概念|一带一路,53.0,22.95,185.18,13.1,0.39,0.21,13:53,0,0.11,,
2026-08-10,002437,誉衡药业,主板,2,2/2,3.43,19.1,9.6,-1.2,-3.4,化学制药,创新药,6,病原体防治|创新药|股权分散,18.6,15.68,72.04,22.0,0.06,0.08,09:30,15,-0.22,,
2026-08-10,600641,先导基电,主板,2,2/2,34.41,47.0,-19.4,94.1,137.8,半导体,长江三角,9,光伏概念|长江三角|参股银行,762.5,9.91,320.23,3.1,0.08,0.03,09:32,0,2.35,,
2026-08-10,600664,哈药股份,主板,2,2/2,7.52,25.5,123.1,113.0,91.8,化学制药,破增发价股,14,破增发价股|趋势股|创新药,61.1,9.9,189.39,5.2,0.66,0.35,09:25,1,0.34,,
