日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,全部题材,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-06-24,301396,宏景科技,创业板,1,1/1,297.6,38.0,45.2,572.0,612.5,IT服务Ⅱ,人工智能,9,人工智能|信创|算力概念,1824.7,53.16,421.12,13.5,0.71,0.17,10:41,5,5.69,,
2026-06-24,301366,一博科技,创业板,1,1/1,62.84,8.0,34.4,77.1,67.9,元件,机器人概念,15,机器人概念|人工智能|PCB,277.2,18.14,73.52,26.4,0.08,0.11,11:27,28,1.15,,
2026-06-24,301669,高特电子,创业板,1,1/1,45.2,22.3,,,,其他电源,储能概念,3,储能概念,154.4,15.56,37.01,45.1,0.58,1.58,10:30,2,3.27,,上半年业绩暴增创业板股名单
2026-06-24,301310,鑫宏业,创业板,1,4/2,53.86,38.2,88.8,70.7,112.1,汽车零部,机器人概念,15,机器人概念|光伏概念|新能源车,76.1,8.67,32.85,28.1,0.16,0.48,10:49,11,0.6,,
2026-06-24,300506,名家汇,创业板,1,1/1,5.68,16.9,10.3,32.1,87.8,装修装饰,破增发价股,7,破增发价股|节能环保|深圳特区,-127.0,4.32,41.73,10.8,0.02,0.05,11:21,7,0.5,,
2026-06-24,301132,满坤科技,创业板,1,1/1,54.74,23.1,34.0,59.3,41.4,元件,机器人概念,15,机器人概念|新能源车|PCB,74.1,3.59,51.86,7.3,1.31,2.52,09:36,1,0.78,,【中证快报】6月23日中证投资资讯 | 八部门联合发文推进汽车流通消费改革试点
2026-06-24,002167,东方锆业,主板,4,4/4,21.46,46.4,67.9,72.6,107.7,小金属,电池技术,15,电池技术|趋势股|固态电池,306.8,61.79,162.82,39.7,0.12,0.07,13:05,19,-2.5,,长裕集团6天5板，重组蛋白概念涨幅居前丨强势个股
2026-06-24,603407,长裕集团,主板,4,7/6,90.55,46.4,50.0,,,化学原料,化学原料,1,化学原料,145.9,7.52,32.52,24.1,0.34,1.04,09:38,3,0.48,,长裕集团6天5板，重组蛋白概念涨幅居前丨强势个股
2026-06-24,002674,兴业科技,主板,4,4/4,23.83,46.5,49.2,70.8,148.5,纺织制造,机器人概念,15,机器人概念|新能源车|趋势股,67.0,0.55,69.72,0.8,4.56,6.54,09:25,0,0.09,,2连板兴业科技：收购磷化铟业务存不确定性 目前预计该事项对公司当期营业收入和净利润影响极小
2026-06-24,603938,三孚股份,主板,3,3/3,71.63,29.2,50.1,264.2,419.9,化学原料,半导体概念,27,半导体概念|光纤概念|存储芯片,297.4,35.23,274.07,13.6,0.47,0.17,13:09,2,-0.39,,
