日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,全部题材,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-08-14,300862,蓝盾光电,创业板,5,5/5,47.29,148.8,179.0,101.8,74.2,通用设备,华为概念,11,华为概念|节能环保|PPP模式,-91.8,34.95,71.63,51.7,0.31,0.44,10:13,5,-0.39,,
2026-08-14,300404,博济医药,创业板,2,2/2,17.34,59.1,69.2,64.4,60.5,医疗服务,中药概念,5,医疗器械概念|DeepSeek概念|中药概念,155.4,13.2,49.51,27.5,0.74,1.49,09:35,5,0.39,,
2026-08-14,300017,网宿科技,创业板,1,1/1,17.33,12.1,20.8,-22.2,53.5,IT服务Ⅱ,人工智能,14,华为概念|长江三角|人工智能,59.4,76.62,410.11,20.3,2.59,0.63,14:14,0,20.45,,
2026-08-14,300120,经纬辉开,创业板,1,1/1,9.26,36.4,24.1,9.2,2.3,光学光电,半导体概念,6,半导体概念|国产芯片|电网概念,-10.8,9.03,48.84,20.5,0.28,0.57,14:53,1,1.4,,
2026-08-14,301419,阿莱德,创业板,1,1/1,37.62,17.6,14.2,33.0,49.7,通信设备,通信技术,12,通信技术|5G概念|毫米波概念,86.0,4.38,37.3,12.3,1.66,4.46,10:31,0,1.08,,
2026-08-14,301130,西点药业,创业板,1,1/1,30.85,22.9,18.3,-1.7,-9.1,化学制药,病原体防治,2,病原体防治|幽门螺杆菌概念,103.5,3.19,18.21,18.0,0.08,0.44,09:55,10,0.51,,
2026-08-14,300684,中石科技,创业板,1,1/1,67.36,30.3,-0.6,19.8,116.4,电子化学,通信技术,12,华为概念|通信技术|5G概念,59.1,2.86,137.8,2.1,10.43,7.57,09:25,0,1.08,,北京中石伟业科技股份有限公司关于控股股东、实际控制人及其一致行动人拟协议转让公司部分股份暨权益变动的提示性公告
2026-08-14,300929,华骐环保,创业板,1,1/1,16.82,20.4,12.1,36.4,46.4,环境治理,人工智能,14,节能环保|人工智能|储能概念,-50.1,2.02,21.09,10.3,0.42,2.0,13:12,0,0.48,,
2026-08-14,002081,金 螳 螂,主板,3,3/3,5.29,33.9,35.6,52.0,51.6,装修装饰,长江三角,8,半导体概念|长江三角|电商概念,34.6,26.48,139.88,19.7,0.94,0.67,10:16,1,1.22,,两连板金螳螂异动澄清：洁净类装修业务占营收及净利润比例较低
2026-08-14,000936,华西股份,主板,3,3/3,6.97,34.3,40.2,-13.2,-2.7,化学纤维,人工智能,14,央国企改革|长江三角|人工智能,347.6,9.51,61.75,15.5,0.44,0.71,09:25,7,0.17,,光通信龙头业绩超预期，1.6T光模块需求加速，通信ETF南方（159511）跟踪指数涨超2%
2026-08-14,603330,天洋新材,主板,3,3/3,10.68,39.6,43.4,43.2,50.0,塑料,华为概念,11,破增发价股|华为概念|网红经济,-19.4,2.68,43.44,6.2,0.94,2.16,09:30,0,0.06,,
2026-08-14,002172,澳洋健康,主板,3,3/3,4.54,38.0,42.3,3.9,10.5,医疗服务,人工智能,14,节能环保|长江三角|人工智能,124.0,0.87,34.74,2.5,1.36,3.92,09:25,0,0.25,,
2026-08-14,001260,坤泰股份,主板,3,3/3,23.13,38.3,43.8,2.2,16.4,汽车零部,小米汽车,1,小米汽车,71.6,0.3,26.6,1.1,3.37,12.67,09:25,0,0.06,,
2026-08-14,603118,共进股份,主板,2,2/2,17.56,19.5,36.4,46.5,52.4,通信设备,央国企改革,13,央国企改革|华为概念|通信技术,172.9,19.5,138.25,14.3,0.92,0.67,09:32,6,1.68,,
2026-08-14,002322,理工能科,主板,2,2/2,13.05,22.2,28.3,-1.5,8.9,软件开发,人工智能,14,节能环保|长江三角|人工智能,21.2,3.23,45.86,7.1,0.4,0.87,09:31,1,0.55,,理工能科002322.SZ)2026年中报净利润为1.20亿元、较去年同期上涨9.59%
2026-08-14,002724,海洋王,主板,2,2/2,6.78,27.2,36.4,-8.6,-15.8,照明设备,物联网,4,军工|深圳特区|物联网,69.6,1.34,38.5,3.5,1.0,2.6,09:30,0,0.58,,
2026-08-14,600613,神奇制药,主板,2,2/2,6.41,25.9,25.4,1.7,-4.3,化学制药,破增发价股,8,破增发价股|长江三角|中药概念,94.7,0.8,30.72,2.6,1.49,4.86,09:25,0,0.27,,
2026-08-14,600487,亨通光电,主板,1,1/1,62.98,5.8,-11.4,64.7,264.3,通信设备,通信技术,12,华为概念|通信技术|5G概念,48.1,191.97,1545.31,13.0,8.44,0.55,13:59,1,31.21,,
2026-08-14,603629,利通电子,主板,1,1/1,137.5,7.9,22.7,236.6,709.6,消费电子,人工智能,14,人工智能|算力概念|云计算,94.4,88.7,495.99,18.8,3.04,0.61,14:19,1,5.47,,
2026-08-14,603083,剑桥科技,主板,1,1/1,185.9,20.1,-10.7,83.4,249.9,通信设备,通信技术,12,华为概念|通信技术|5G概念,195.4,71.31,512.32,14.4,3.08,0.6,10:41,1,12.54,,
