日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,全部题材,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-07-02,301092,争光股份,创业板,2,2/2,58.91,29.0,17.0,68.8,85.7,塑料,军工,3,军工|稀土永磁|减肥药,84.6,5.4,35.9,15.5,0.19,0.54,09:35,5,0.63,,
2026-07-02,300740,水羊股份,创业板,1,1/1,22.27,16.6,-9.7,-6.6,31.2,化妆品,转债标的,5,转债标的|网红经济|DeepSeek概念,61.9,7.44,80.52,10.0,0.76,0.95,11:23,2,1.34,,49只股即将分红 抢权行情能否开启？
2026-07-02,300071,福石控股,创业板,1,1/1,4.4,23.6,1.1,-32.6,-9.8,广告营销,华为概念,5,华为概念|AIGC概念|小红书概念,-37.3,7.08,41.6,17.8,0.08,0.2,09:32,1,2.07,,
2026-07-02,301008,宏昌科技,创业板,1,1/1,31.93,29.5,28.4,-7.4,41.8,家电零部,人形机器人,11,人形机器人|传感器,187.1,5.28,36.92,15.1,0.23,0.61,10:09,1,1.0,,特斯拉量产加速！A股机器人概念大爆发，机构：板块未被充分定价
2026-07-02,300163,先锋新材,创业板,1,1/1,6.47,11.0,2.1,59.8,70.3,化学制品,建筑节能,1,建筑节能,89.6,2.13,29.54,7.7,0.62,2.08,09:58,0,0.48,,
2026-07-02,300695,兆丰股份,创业板,1,1/1,60.37,15.9,-2.3,-39.6,-32.3,汽车零部,新能源车,12,新能源车|人形机器人|创投,20.4,2.1,61.73,3.7,0.78,1.27,14:23,0,0.27,,
2026-07-02,301019,宁波色母,创业板,1,1/1,21.53,16.6,2.0,-5.8,27.1,塑料,塑料,2,塑料,31.1,1.05,26.04,4.3,0.44,1.68,10:01,0,0.25,,
2026-07-02,000566,海南海药,主板,4,8/6,6.04,31.6,48.0,-15.5,1.0,化学制药,央国企改革,17,央国企改革|破增发价股|参股银行,-17.9,7.45,78.32,9.5,1.21,1.54,09:30,1,1.74,,
2026-07-02,600641,先导基电,主板,3,3/3,48.24,29.7,88.1,173.5,249.6,半导体,长江三角,7,半导体概念|光伏概念|长江三角,-371.3,32.82,448.94,7.4,4.61,1.03,09:25,2,2.34,,上海先导基电科技股份有限公司关于筹划通过增资方式收购先导微电子股权暨关联交易事项的提示性公告
2026-07-02,603137,恒尚节能,主板,3,3/3,15.65,20.9,26.8,13.9,7.1,装修装饰,节能环保,8,节能环保|新型城镇化|装配建筑,-61.7,0.06,28.63,0.2,3.9,13.63,09:25,0,0.04,,关于重大工程中标的公告
2026-07-02,002808,恒久退,主板,3,3/3,0.25,47.1,-91.2,-95.0,-94.5,光学光电,电池技术,9,电池技术|OLED|燃料电池概念,-1.5,0.05,0.47,11.6,0.0,0.04,09:25,11,0.0,,
2026-07-02,603505,金石资源,主板,2,2/2,24.39,24.4,30.9,30.6,58.3,化学制品,液冷概念,3,液冷概念|稀缺资源,64.1,25.15,205.28,12.7,0.29,0.14,11:28,4,1.35,,
