日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,全部题材,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-07-09,301379,天山电子,创业板,1,1/1,36.97,37.9,52.3,88.9,94.0,光学光电,人工智能,12,人工智能|PCB|存储芯片,81.2,14.59,80.48,18.9,0.97,1.2,09:39,2,1.31,,净利预增超4倍！PCB概念集体异动，翻倍大牛股一分钟涨停
2026-07-09,300469,信息发展,创业板,1,1/1,59.64,11.0,15.1,-12.4,74.6,软件开发,人工智能,12,人工智能|安防概念|虚拟现实,-86.4,10.77,147.98,7.6,0.7,0.47,13:41,0,0.88,,
2026-07-09,301607,富特科技,创业板,1,1/1,57.37,9.9,24.1,81.4,123.6,汽车零部,新能源车,4,新能源车|第三代半导体|充电桩,49.3,10.6,87.08,13.2,1.05,1.2,14:38,0,0.33,,关于子公司增资及公司放弃优先认购权暨关联交易的公告
2026-07-09,300626,华瑞股份,创业板,1,1/1,33.35,0.5,-8.8,118.9,206.4,电机Ⅱ,央国企改革,16,央国企改革|机器人概念|新能源车,406.0,3.37,60.0,6.0,0.11,0.18,10:20,0,0.4,,
2026-07-09,603137,恒尚节能,主板,8,8/8,25.2,61.0,115.9,78.6,68.6,装修装饰,趋势股,2,节能环保|趋势股|装配建筑,-99.4,3.27,46.1,7.2,1.49,3.23,09:30,0,0.27,,收购存储器资产，603137斩获6连板！公司提示：股价存在快速下跌风险
2026-07-09,002841,视源股份,主板,3,3/3,52.13,46.7,49.6,32.0,55.6,消费电子,人工智能,12,深成500|机器人概念|人工智能,33.2,25.47,271.78,9.7,0.09,0.03,10:06,69,-2.24,,关于申请发行境外上市股份(H股)并上市的进展公告
2026-07-09,000977,浪潮信息,主板,2,2/2,85.99,34.8,44.6,28.2,67.8,计算机设,央国企改革,16,央国企改革|深成500|人工智能,49.4,185.34,1261.33,14.9,9.17,0.73,09:38,2,22.77,,2026年半年度业绩预告
2026-07-09,603928,兴业股份,主板,2,10/6,18.0,13.6,57.6,34.6,44.4,塑料,半导体概念,29,半导体概念|光刻机(胶)|趋势股,51.0,11.72,61.33,19.7,0.19,0.31,09:32,3,-0.69,,
2026-07-09,002490,山东墨龙,主板,2,2/2,7.67,17.8,0.1,3.4,33.4,专用设备,央国企改革,16,央国企改革|天然气|AH股,1151.1,6.8,41.55,16.9,0.43,1.05,11:04,0,1.06,,
2026-07-09,002677,浙江美大,主板,2,5/3,7.23,27.7,5.9,-29.0,2.2,厨卫电器,人工智能,12,人工智能,701.5,1.08,39.87,2.8,0.57,1.43,09:41,0,0.23,,
2026-07-09,603986,兆易创新,主板,1,1/1,663.49,-4.5,32.6,157.2,458.9,半导体,半导体概念,29,半导体概念|国产芯片|存储芯片,162.0,381.85,4435.38,8.8,11.83,0.27,13:40,2,39.39,,
2026-07-09,002384,东山精密,主板,1,1/1,261.32,17.9,16.5,222.2,462.9,元件,华为概念,19,华为概念|通信技术|5G概念,234.6,277.86,3622.74,8.1,4.25,0.12,14:42,0,29.64,,
2026-07-09,600584,长电科技,主板,1,1/1,103.52,7.9,37.7,166.3,213.2,半导体,半导体概念,29,半导体概念|央国企改革|国产芯片,112.1,204.97,1852.4,11.5,8.34,0.45,13:05,0,37.49,,江苏长电科技股份有限公司关于2025年股票期权激励计划获得批复的公告
2026-07-09,002156,通富微电,主板,1,1/1,72.17,7.1,12.0,80.8,190.1,半导体,半导体概念,29,半导体概念|华为概念|国产芯片,75.7,113.39,1095.15,10.8,2.25,0.21,13:38,5,16.64,,
2026-07-09,002281,光迅科技,主板,1,1/1,238.49,9.3,13.4,236.5,406.1,通信设备,国产芯片,20,央国企改革|华为概念|国产芯片,190.5,108.65,1861.41,6.1,3.18,0.17,13:52,2,15.66,,
