日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-06-15,301176,逸豪新材,创业板,2,2/2,67.92,71.5,83.7,173.2,293.1,元件,PCB,13,-240.8,4.3,111.43,4.0,1.67,1.5,09:32,1,0.94,,逸豪新材澄清：HVLP铜箔量产存重大不确定性
2026-06-15,300548,长芯博创,创业板,1,1/1,268.84,26.2,6.9,98.5,347.2,通信设备,通信技术,35,211.1,67.08,732.22,9.7,0.52,0.07,11:11,1,9.37,,
2026-06-15,301217,铜冠铜箔,创业板,1,1/1,170.16,50.5,104.5,440.9,1481.4,电池,央国企改革,36,858.9,66.75,1410.65,5.0,1.18,0.08,13:31,0,3.52,,A股重要指数明日调整，牛股批量入选
2026-06-15,300570,太辰光,创业板,1,1/1,222.1,44.3,38.5,94.3,151.5,通信设备,通信技术,35,176.8,64.45,426.86,15.7,4.01,0.94,10:22,0,6.02,,
2026-06-15,300489,光智科技,创业板,1,1/1,195.43,42.0,62.4,341.3,321.5,光学光电,趋势股,7,-993.2,19.7,270.96,7.7,0.26,0.09,13:03,14,2.49,,
2026-06-15,301373,凌玮科技,创业板,1,1/1,158.98,33.8,30.0,436.2,469.8,化学制品,化工原料,1,119.7,18.99,64.84,31.1,0.28,0.44,13:33,7,0.15,,
2026-06-15,300726,宏达电子,创业板,1,1/1,72.41,7.9,34.0,80.2,122.0,军工电子,通信技术,35,67.8,17.99,155.27,12.0,0.98,0.63,09:42,2,2.14,,
2026-06-15,301196,唯科科技,创业板,1,1/1,191.78,37.4,23.7,153.8,187.7,塑料,新能源车,24,96.6,15.99,159.11,10.6,0.26,0.16,13:00,0,0.84,,
2026-06-15,301362,民爆光电,创业板,1,1/1,225.26,21.2,74.1,701.8,742.5,照明设备,PCB,13,224.7,12.83,92.23,15.2,0.05,0.05,14:41,3,0.6,,
2026-06-15,301566,达利凯普,创业板,1,1/1,36.64,11.7,37.8,90.1,116.9,元件,通信技术,35,90.7,12.22,77.34,16.4,0.55,0.71,09:51,6,1.9,,
2026-06-15,301387,光大同创,创业板,1,1/1,116.95,19.4,23.4,175.6,227.7,消费电子,苹果概念,2,-10212.8,8.61,49.92,17.9,0.17,0.34,10:00,9,0.12,,
2026-06-15,300588,熙菱信息,创业板,1,1/1,22.09,17.3,5.5,-19.4,50.1,计算机设,华为概念,34,-93.7,1.56,39.06,4.1,0.54,1.38,09:37,0,0.48,,
2026-06-15,601958,金钼股份,主板,3,3/3,28.07,35.0,33.4,93.6,167.1,小金属,央国企改革,36,26.8,60.29,905.71,6.7,1.38,0.15,09:32,19,-1.61,,
2026-06-15,000032,深桑达Ａ,主板,3,3/3,20.81,37.8,13.3,10.4,9.4,专业工程,央国企改革,36,-144.2,20.29,236.81,8.8,1.22,0.51,11:07,7,3.09,,
2026-06-15,001257,盛龙股份,主板,3,3/3,30.51,30.8,26.0,,,小金属,央国企改革,36,62.4,14.72,41.78,35.5,0.88,2.1,09:30,4,0.74,,
2026-06-15,000510,新金路,主板,3,3/3,21.31,27.0,51.9,110.8,301.3,化学原料,西部大开发,9,-56.5,3.51,129.27,2.7,1.56,1.21,09:30,0,1.21,,
2026-06-15,603738,泰晶科技,主板,2,2/2,56.91,32.3,2.4,253.0,307.3,元件,通信技术,35,329.8,47.5,219.61,22.5,0.24,0.11,09:25,26,1.07,,
2026-06-15,601696,中银证券,主板,2,2/2,12.69,20.7,6.4,-13.1,26.5,证券Ⅱ,参股期货,3,31.3,16.55,352.53,4.8,1.23,0.35,09:38,1,3.41,,
2026-06-15,000506,招金黄金,主板,2,2/2,15.1,13.4,4.6,10.4,60.3,贵金属,央国企改革,36,40.1,9.1,140.23,6.6,0.91,0.65,09:46,1,1.85,,
