日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,全部题材,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-08-18,300684,中石科技,创业板,3,3/3,97.0,90.0,78.0,72.5,166.8,电子化学,华为概念,7,华为概念|通信技术|5G概念,85.0,48.48,198.44,24.5,0.89,0.45,09:33,7,0.86,,万亿龙头入股！300684，20cm两连板！
2026-08-18,300313,天山生物,创业板,2,2/2,12.88,54.1,63.9,80.9,22.1,养殖业,土地流转,3,近期摘帽|高市净率|土地流转,-171.0,1.88,25.42,7.6,0.98,3.86,09:31,0,0.23,,养殖业概念盘中走强，生猪行业产能去化已现实质性进展丨异动情报
2026-08-18,300189,神农种业,创业板,1,1/1,6.23,30.1,52.3,-14.2,25.4,种植业,农业种植,14,农业种植|土地流转|粮食概念,56.3,22.91,55.21,44.1,1.0,1.81,10:21,1,2.77,,
2026-08-18,300598,诚迈科技,创业板,1,1/1,34.6,17.4,29.6,-22.5,-25.0,软件开发,破增发价股,15,破增发价股|华为概念|物联网,-78.7,7.69,75.05,10.9,0.63,0.84,13:52,2,2.09,,
2026-08-18,301129,瑞纳智能,创业板,1,1/1,26.46,24.7,41.0,-1.1,-10.1,通用设备,人工智能,4,半导体概念|人工智能|物联网,28.2,2.79,17.85,16.4,0.12,0.67,09:44,1,0.37,,瑞纳智能301129.SZ)2026年中报净利润为1158.23万元，扭亏为盈
2026-08-18,300970,华绿生物,创业板,1,1/1,21.66,24.0,36.6,21.5,89.8,种植业,农业种植,14,合成生物|农业种植,15.7,2.31,26.53,9.1,0.27,1.02,09:48,1,0.72,,
2026-08-18,301106,骏成科技,创业板,1,1/1,21.18,23.8,36.3,-8.8,-7.7,光学光电,新能源车,10,新能源车|通信技术|5G概念,40.8,1.16,30.28,4.0,0.94,3.12,09:33,0,0.21,,关于筹划重大资产重组暨关联交易的提示性公告
2026-08-18,600613,神奇制药,主板,4,4/4,7.76,50.1,58.4,23.2,13.6,化学制药,破增发价股,15,破增发价股|长江三角|参股银行,114.7,5.61,37.2,15.1,0.93,2.5,09:25,1,-0.27,,
2026-08-18,600353,旭光电子,主板,3,3/3,37.54,27.7,24.7,97.9,124.1,其他电子,华为概念,7,西部大开发|华为概念|5G概念,188.8,24.27,311.14,7.9,1.3,0.42,09:33,10,2.02,,
2026-08-18,603089,正裕工业,主板,3,3/3,11.8,32.6,43.7,-15.1,-25.1,汽车零部,破增发价股,15,破增发价股|新能源车|2026中报首亏,56.7,0.57,28.32,2.0,0.54,1.92,09:25,0,0.12,,
