日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-06-09,301013,利和兴,创业板,1,1/1,60.97,14.0,115.8,120.3,243.3,专用设备,半导体概念,31,,28.84,115.38,27.6,0.93,0.81,13:21,7,,,
2026-06-09,300260,新莱应材,创业板,1,1/1,73.9,37.3,39.1,47.9,131.6,通用设备,半导体概念,31,,28.26,212.56,14.2,1.48,0.7,13:56,0,,,
2026-06-09,300593,新雷能,创业板,1,1/1,37.64,5.3,28.7,41.5,177.6,其他电源,5G概念,15,,18.83,169.48,11.6,0.8,0.47,10:08,1,,,
2026-06-09,300221,银禧科技,创业板,1,1/1,16.93,19.3,44.9,76.9,91.5,塑料,华为概念,29,,17.39,77.4,23.6,0.64,0.82,13:04,2,,,
2026-06-09,301630,同宇新材,创业板,1,1/1,276.67,7.9,6.6,62.2,,电子化学,PCB,7,,6.35,27.67,23.8,1.56,5.64,10:09,0,,,
2026-06-09,301428,世纪恒通,创业板,1,1/1,40.07,9.1,12.3,15.3,4.7,通信服务,华为概念,29,,4.74,28.2,17.7,0.47,1.68,09:57,0,,,
2026-06-09,300411,金盾股份,创业板,1,1/1,10.0,19.8,-4.6,-13.0,-20.8,专用设备,军工,3,,3.93,30.91,13.4,0.51,1.65,14:19,0,,,
2026-06-09,300656,民德电子,创业板,1,1/1,34.88,13.1,17.6,63.8,34.8,其他电子,半导体概念,31,,3.38,46.35,7.8,0.56,1.22,14:09,0,,,
2026-06-09,301222,浙江恒威,创业板,1,1/1,36.43,17.0,2.8,69.9,90.9,电池,电池,1,,1.51,38.83,4.0,1.19,3.07,09:33,0,,,关于完成工商变更登记备案并换发营业执照的公告
2026-06-09,002354,天娱数科,主板,3,3/3,8.06,20.3,26.9,25.9,21.9,广告营销,趋势股,28,,37.9,131.03,29.2,1.4,1.07,09:33,11,,,
2026-06-09,002254,泰和新材,主板,3,3/3,18.79,39.7,61.8,100.1,80.3,化学纤维,电池技术,33,,26.84,159.84,17.4,0.61,0.38,11:29,0,,,
2026-06-09,603186,华正新材,主板,2,2/2,149.63,23.1,74.0,226.3,468.5,元件,电池技术,33,,28.11,234.61,12.5,1.03,0.44,11:06,0,,,
2026-06-09,002747,埃斯顿,主板,2,2/2,37.53,39.2,55.9,67.8,87.3,自动化设,趋势股,28,,27.77,293.64,9.7,2.68,0.91,09:41,0,,,
2026-06-09,001696,宗申动力,主板,2,2/2,17.55,20.5,-2.1,-17.9,-20.1,通用设备,电池技术,33,,11.9,156.44,7.8,1.92,1.23,09:37,2,,,
