日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,全部题材,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-07-16,301176,逸豪新材,创业板,1,1/1,58.2,9.4,-28.6,126.0,75.8,元件,PCB,1,PCB,-206.3,6.07,95.48,6.7,0.14,0.15,09:44,0,1.26,,
2026-07-16,300805,电声股份,创业板,1,1/1,8.83,22.3,9.3,-30.9,-20.1,广告营销,华为概念,11,华为概念|电商概念|虚拟现实,113.7,3.67,25.46,15.0,0.23,0.88,09:46,2,0.76,,
2026-07-16,300968,格林精密,创业板,1,1/1,10.24,16.1,-5.4,-32.5,-26.5,消费电子,华为概念,11,机器人概念|华为概念|虚拟现实,-78.2,1.64,42.33,3.9,0.79,1.85,09:36,0,0.47,,
2026-07-16,600664,哈药股份,主板,5,5/5,4.94,61.4,58.3,40.3,27.6,化学制药,破增发价股,11,破增发价股|病原体防治|中药概念,40.2,14.65,124.41,11.8,0.18,0.14,09:25,2,-0.24,,
2026-07-16,603580,艾艾精工,主板,3,6/5,40.84,33.1,64.6,156.1,174.1,塑料,贬值受益,1,贬值受益,129.5,0.06,53.37,0.1,0.11,0.21,09:25,0,0.02,,实控人拟变更为袁源，艾艾精工涨停
2026-07-16,000566,海南海药,主板,2,2/2,5.67,19.9,46.5,-16.7,-8.8,化学制药,央国企改革,14,央国企改革|破增发价股|创投,-16.8,16.15,73.52,22.7,0.88,1.19,11:01,1,1.14,,海南海药股份有限公司2026年半年度业绩预告
2026-07-16,600162,香江控股,主板,2,2/2,2.78,16.8,-20.3,47.9,63.6,房地产开,破增发价股,11,破增发价股|深圳特区|养老概念,-103.7,9.07,90.86,10.6,0.02,0.02,09:30,2,1.01,,香江控股2026年半年度业绩预亏公告
2026-07-16,002739,儒意电影,主板,2,2/2,10.32,6.6,21.7,-10.3,-10.7,影视院线,破增发价股,11,破增发价股|深成500|影视概念,-95.1,8.48,214.86,4.0,2.5,1.16,09:30,0,1.86,,2026年半年度业绩预告
2026-07-16,000676,智度股份,主板,2,2/2,6.22,20.3,10.3,-39.6,-31.1,广告营销,华为概念,11,华为概念|人工智能|创投,54.7,4.93,78.31,6.6,1.04,1.32,09:46,0,0.99,,2026年半年度业绩预告
2026-07-16,002365,永安药业,主板,2,2/2,13.18,30.8,19.7,-14.8,-43.4,化学制药,氢能源,1,氢能源|新消费|反转股,112.3,3.32,32.33,10.5,0.83,2.56,09:33,0,0.66,,2026年半年度业绩预告
