日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,全部题材,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-08-19,300911,亿田智能,创业板,1,1/1,26.66,21.7,39.6,-27.0,-47.7,厨卫电器,转债标的,5,转债标的|算力概念|AIGC概念,-29.7,8.2,45.68,19.4,1.45,3.17,13:07,0,0.69,,关于子公司签署算力中心项目建设合同的公告
2026-08-19,301211,亨迪药业,创业板,1,1/1,14.54,24.2,24.8,15.7,12.7,化学制药,病原体防治,4,流感|病原体防治|维生素,179.6,8.04,60.72,13.7,0.12,0.2,09:34,4,1.9,,
2026-08-19,300069,金利华电,创业板,1,1/1,34.66,17.7,12.7,81.2,60.8,电网设备,长江三角,5,电池技术|长江三角|商业航天,-2677.2,6.15,40.55,16.5,0.78,1.92,09:59,1,1.3,,关于发行股份及支付现金购买资产并募集配套资金暨关联交易事项的进展公告
2026-08-19,301130,西点药业,创业板,1,4/2,33.38,31.4,40.4,6.4,-0.2,化学制药,病原体防治,4,病原体防治|幽门螺杆菌概念,112.0,5.32,19.7,28.2,0.2,1.01,09:35,1,0.9,,
2026-08-19,000505,京粮控股,主板,3,3/3,7.47,30.4,39.6,8.7,10.7,农产品加,央国企改革,8,央国企改革|一带一路|AB股,-20.1,4.98,47.24,10.7,0.6,1.27,09:31,0,0.89,,
2026-08-19,603395,红四方,主板,3,3/3,29.0,29.7,26.2,-2.8,-14.8,农化制品,农业种植,2,农业种植,148.2,3.41,18.85,18.1,0.07,0.38,09:25,1,0.06,,
2026-08-19,600127,金健米业,主板,3,3/3,7.82,27.8,40.6,17.9,12.0,农产品加,央国企改革,8,央国企改革|新零售|2026中报首亏,-962.3,2.29,50.19,4.6,0.27,0.53,09:25,0,1.27,,
2026-08-19,600371,万向德农,主板,2,2/2,8.95,22.8,39.0,0.9,-3.6,种植业,农业种植,2,乡村振兴|农业种植|粮食概念,-475.4,4.68,26.19,18.2,0.0,0.02,09:31,5,-0.14,,
2026-08-19,000526,学大教育,主板,2,2/2,39.09,8.3,38.8,4.2,-23.9,教育,破增发价股,9,半导体概念|破增发价股|人工智能,17.9,3.59,47.48,7.7,0.94,1.98,09:33,1,0.54,,学大教育000526.SZ)2026年中报净利润为3.01亿元、较去年同期上涨30.85%
2026-08-19,002953,日丰股份,主板,2,2/2,11.73,19.1,36.4,-6.2,3.2,电网设备,机器人概念,2,机器人概念|华为概念|充电桩,36.8,2.75,33.0,8.3,0.96,2.92,09:25,1,0.39,,关于公司对全资子公司增资的公告
2026-08-19,000020,深华发Ａ,主板,2,2/2,13.74,21.1,40.8,-8.4,-2.8,光学光电,AB股,3,深圳特区|AB股,131.9,2.61,24.89,10.6,0.23,0.93,09:30,1,0.16,,深华发A000020.SZ)2026年中报净利润为840.60万元、较去年同期下降41.38%
2026-08-19,603290,斯达半导,主板,1,1/1,100.31,13.7,22.7,-4.1,3.9,半导体,破增发价股,9,破增发价股|新能源车|转债标的,73.2,20.56,240.22,8.8,0.2,0.08,09:53,2,4.68,,关于召开2026年半年度业绩说明会的公告
2026-08-19,000560,我爱我家,主板,1,1/1,2.38,1.7,11.7,-26.8,-22.2,房地产服,西部大开发,4,西部大开发|人工智能|低市净率,-57.5,10.12,55.65,18.3,0.37,0.66,09:33,4,2.31,,
2026-08-19,001301,尚太科技,主板,1,1/1,62.33,14.6,22.8,12.5,62.4,电池,转债标的,5,电池技术|转债标的|储能概念,26.2,10.07,162.11,6.2,0.28,0.18,09:31,10,1.44,,关于举办2026年半年度网上业绩说明会的公告
2026-08-19,600783,鲁信创投,主板,1,1/1,20.19,14.4,39.7,-11.2,55.7,通用设备,央国企改革,8,央国企改革|创投|参股券商,90.0,8.97,150.29,6.0,0.05,0.04,09:25,1,2.48,,
2026-08-19,600403,大有能源,主板,1,1/1,6.82,1.6,29.2,-0.4,80.9,煤炭开采,破增发价股,9,央国企改革|破增发价股|长江三角,-7.8,8.26,163.05,5.2,0.08,0.05,09:48,0,2.58,,
2026-08-19,000723,美锦能源,主板,1,1/1,3.89,7.5,12.1,-17.9,-17.6,焦炭Ⅱ,转债标的,5,新能源车|转债标的|反内卷概念,-15.6,7.14,170.97,4.2,0.48,0.28,09:35,2,2.7,,
2026-08-19,601015,陕西黑猫,主板,1,1/1,3.71,6.6,17.4,-16.6,3.1,焦炭Ⅱ,破增发价股,9,西部大开发|破增发价股|反内卷概念,-6.2,5.66,75.78,7.7,0.03,0.04,10:15,1,1.61,,
2026-08-19,001400,江顺科技,主板,1,1/1,85.94,12.1,28.2,15.4,63.1,专用设备,新能源车,3,风能|新能源车|商业航天,84.7,5.17,39.73,13.5,0.4,1.01,09:54,2,1.22,,
2026-08-19,000059,华锦股份,主板,1,1/1,5.07,8.6,12.4,-13.0,-4.5,炼化及贸,破增发价股,9,央国企改革|破增发价股|2026中报扭亏,-5.9,4.03,81.09,5.1,0.46,0.57,13:05,1,1.22,,
2026-08-19,600610,中毅达,主板,1,1/1,7.8,8.3,24.8,-30.8,-41.0,化学原料,长江三角,5,西部大开发|长江三角|AB股,150.7,3.61,55.28,6.7,0.03,0.06,10:24,2,1.42,,
2026-08-19,603102,百合股份,主板,1,6/3,45.76,8.8,43.9,2.7,5.0,食品加工,养老概念,2,养老概念|婴童概念|化妆品概念,24.7,3.33,29.29,11.5,0.05,0.17,09:32,0,0.96,,海量财经 | 7天3板涨停！百合股份布局宠物营养赛道 营收增加近两成净利反降13.64%
2026-08-19,002900,哈三联,主板,1,1/1,15.63,7.0,55.7,29.8,0.3,化学制药,病原体防治,4,趋势股|病原体防治|化妆品概念,-15.6,3.21,25.18,12.9,1.48,5.88,09:31,1,1.98,,
2026-08-19,603366,日出东方,主板,1,1/1,7.63,8.7,16.5,-21.2,-21.6,厨卫电器,创投,3,光伏概念|参股银行|创投,36.5,2.97,62.04,4.9,0.03,0.05,11:01,0,0.95,,日出东方603366.SH)2026年中报净利润为3664.63万元、较去年同期下降11.27%
2026-08-19,001338,永顺泰,主板,1,1/1,9.63,9.7,12.1,-20.1,-18.0,农产品加,央国企改革,8,央国企改革|啤酒概念,24.3,2.89,48.32,6.1,0.11,0.22,09:45,7,0.69,,
