日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,全部题材,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-06-26,300162,雷曼光电,创业板,1,1/1,12.13,8.8,8.4,51.6,63.5,光学光电,深圳特区,3,深圳特区|柔性屏(折叠屏)|LED概念,-87.4,12.17,41.5,30.6,0.26,0.62,10:20,11,2.41,,
2026-06-26,301349,信德新材,创业板,1,1/1,75.6,17.0,27.5,120.4,175.0,电池,电池技术,5,电池技术|锂电池概念|光纤概念,171.9,11.11,85.06,13.9,0.77,0.9,09:58,8,0.69,,【中证快报】6月25日中证投资资讯 | 自动驾驶系统全球技术法规发布 商业进程加快
2026-06-26,300540,蜀道装备,创业板,1,1/1,30.5,20.4,15.9,57.1,88.6,专用设备,央国企改革,14,央国企改革|西部大开发|氢能源,95.1,10.53,63.05,17.7,0.94,1.48,13:36,0,1.2,,
2026-06-26,301051,信濠光电,创业板,1,1/1,20.96,32.2,16.5,47.7,49.0,消费电子,深圳特区,3,深圳特区|柔性屏(折叠屏)|3D玻璃,-23.8,8.8,47.34,19.8,0.41,0.86,09:54,2,0.71,,
2026-06-26,300264,佳创视讯,创业板,1,1/1,9.77,10.9,11.4,49.8,57.8,IT服务Ⅱ,华为概念,11,华为概念|深圳特区|虚拟现实,-103.6,4.67,36.19,13.6,0.2,0.55,13:06,8,0.72,,
2026-06-26,002674,兴业科技,主板,6,6/6,28.83,61.1,89.5,107.9,198.1,纺织制造,机器人概念,8,机器人概念|新能源车|趋势股,81.1,2.17,84.35,2.6,6.34,7.52,09:25,0,0.31,,四连板兴业科技股价异动 称收购磷化铟业务尚存不确定性
2026-06-26,605366,宏柏新材,主板,4,4/4,14.38,34.3,25.3,125.0,134.6,化学制品,有机硅概念,2,有机硅概念,-66.1,21.55,111.13,19.6,0.09,0.08,09:31,31,-0.2,,宏柏新材增资至7.7亿
2026-06-26,000823,超声电子,主板,3,9/6,28.46,31.8,75.0,110.7,159.9,元件,央国企改革,14,央国企改革|趋势股|5G概念,79.2,30.18,169.32,17.9,1.31,0.77,09:25,11,2.85,,
2026-06-26,600228,返利科技,主板,3,3/3,10.79,21.0,73.8,93.4,138.2,数字媒体,趋势股,5,趋势股|电商概念|人工智能,-71.0,0.06,44.89,0.1,1.73,3.86,09:25,0,0.05,,返利网数字科技股份有限公司关于控股股东、实际控制人及其一致行动人拟转让股份暨控制权拟发生变更的提示性公告
2026-06-26,002141,贤丰控股,主板,2,13/7,5.76,22.3,65.0,55.3,16.6,元件,电池技术,5,电池技术|锂电池概念|PCB,520.5,14.3,59.5,24.4,0.15,0.25,09:33,8,1.39,,
2026-06-26,002965,祥鑫科技,主板,2,2/2,51.88,18.1,53.1,36.7,33.3,汽车零部,华为概念,11,机器人概念|电池技术|华为概念,264.7,11.81,98.79,12.1,0.33,0.33,09:31,4,1.34,,关于签订股权收购框架协议的公告
2026-06-26,600962,国投中鲁,主板,2,2/2,29.0,11.3,14.7,18.0,115.9,农产品加,央国企改革,14,央国企改革|贬值受益,418.5,2.81,76.04,3.8,0.62,0.82,09:38,0,0.41,,
2026-06-26,603956,威派格,主板,2,6/3,5.83,17.1,-4.1,-8.5,-17.4,专用设备,华为概念,11,机器人概念|华为概念|人工智能,-22.9,0.47,33.23,1.4,0.49,1.47,09:25,0,0.13,,
2026-06-26,600118,中国卫星,主板,1,1/1,77.77,1.6,-5.2,-2.8,179.4,航天装备,央国企改革,14,央国企改革|一带一路|国产芯片,5417.2,67.26,919.62,7.6,1.23,0.13,13:34,7,13.59,,
2026-06-26,002129,TCL中环,主板,1,1/1,11.19,9.1,12.7,27.0,51.6,光伏设备,半导体概念,12,半导体概念|光伏概念|新能源车,-5.0,57.23,452.05,12.8,1.85,0.41,09:46,3,11.21,,
2026-06-26,600552,凯盛科技,主板,1,1/1,29.6,26.9,56.4,160.8,166.4,光学光电,央国企改革,14,半导体概念|央国企改革|华为概念,210.6,44.69,279.6,16.2,1.02,0.36,09:46,14,5.92,,
2026-06-26,001389,广合科技,主板,1,1/1,220.88,9.6,21.3,174.5,289.6,元件,华为概念,11,深成500|华为概念|存储芯片,89.4,42.63,336.21,12.9,0.51,0.15,10:05,12,1.4,,广合科技：拟发行36亿元可转债扩产PCB，2025年净利超10亿
2026-06-26,002354,天娱数科,主板,1,15/8,8.83,14.2,24.9,41.7,42.4,广告营销,机器人概念,8,机器人概念|国产芯片|人工智能,-612.5,42.09,143.55,30.4,0.49,0.34,10:08,1,9.72,,
2026-06-26,600367,红星发展,主板,1,1/1,58.28,3.0,93.0,227.8,268.2,化学原料,央国企改革,14,央国企改革|电池技术|锂电池概念,215.7,39.41,187.65,21.4,0.87,0.46,09:43,6,6.79,,
2026-06-26,002119,康强电子,主板,1,1/1,37.02,7.3,43.7,122.7,119.6,半导体,半导体概念,12,半导体概念|趋势股|存储芯片,119.8,30.64,138.93,23.1,0.73,0.52,11:27,1,3.21,,
2026-06-26,603650,彤程新材,主板,1,3/2,85.83,30.1,55.0,88.3,176.9,橡胶,存储芯片,7,光刻机(胶)|存储芯片|石墨烯,90.4,30.51,527.4,5.8,0.08,0.01,09:40,16,4.65,,
2026-06-26,000620,盈新发展,主板,1,1/1,3.42,15.5,21.3,22.6,109.8,房地产开,存储芯片,7,参股银行|存储芯片|海南自贸,-16.9,26.8,159.77,17.0,0.54,0.34,09:34,7,4.75,,
2026-06-26,001270,铖昌科技,主板,1,1/1,139.43,3.8,-9.5,74.1,289.3,军工电子,国产芯片,6,军工|5G概念|国产芯片,217.7,20.19,285.56,7.3,1.19,0.42,10:21,12,3.52,,
2026-06-26,600343,航天动力,主板,1,1/1,26.27,5.6,-6.4,-42.1,121.3,通用设备,央国企改革,14,央国企改革|西部大开发|氢能源,-88.9,15.66,167.66,9.7,0.81,0.48,11:04,1,3.49,,
2026-06-26,601133,柏诚股份,主板,1,3/2,38.28,22.0,31.0,129.2,194.0,专业工程,半导体概念,12,半导体概念|OLED|存储芯片,104.9,13.87,200.74,7.1,0.36,0.18,10:02,10,1.45,,关于已中标重大项目签订合同的进展公告
2026-06-26,603698,航天工程,主板,1,3/2,43.55,31.8,25.8,10.8,155.1,专用设备,央国企改革,14,央国企改革|节能环保|氢能源,104.4,13.57,233.42,6.1,1.0,0.43,10:21,0,2.65,,
2026-06-26,002559,亚威股份,主板,1,1/1,12.31,13.5,21.2,24.3,33.0,通用设备,半导体概念,12,半导体概念|机器人概念|华为概念,66.4,13.37,62.04,21.9,0.34,0.55,09:46,3,3.5,,
2026-06-26,601016,节能风电,主板,1,1/1,3.94,3.7,-19.9,31.5,37.7,电力,央国企改革,14,央国企改革|氢能源|新能源,51.8,10.95,237.91,4.7,1.04,0.44,09:41,1,4.75,,
2026-06-26,002962,五方光电,主板,1,4/2,19.34,11.9,-2.2,36.9,28.2,光学光电,华为概念,11,华为概念|小米概念|安防概念,187.5,10.17,40.46,25.8,0.34,0.85,10:15,22,2.68,,
2026-06-26,603687,大胜达,主板,1,1/1,18.81,-3.1,16.9,94.7,156.6,包装印刷,国产芯片,6,光伏概念|国产芯片|人工智能,149.1,9.0,103.46,8.7,0.68,0.66,09:31,7,2.33,,【调研快报】大胜达接待线上参与大胜达6036872025年年度业绩说明会的全体投资者调研
