日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,全部题材,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-07-21,300604,长川科技,创业板,1,1/1,318.0,-5.2,20.4,133.1,618.2,半导体,半导体概念,44,半导体概念|深成500|国产芯片,128.3,120.48,1556.52,8.5,1.52,0.1,14:35,1,4.89,,创业板公司上半年业绩抢先看 84家预增
2026-07-21,300285,国瓷材料,创业板,1,1/1,59.9,-14.4,-33.1,92.8,231.8,电子化学,新能源车,17,深成500|新能源车|科技风格,96.8,61.0,511.35,13.2,1.78,0.35,11:03,0,5.27,,官宣涨价！300285，“20cm”涨停
2026-07-21,301205,联特科技,创业板,1,1/1,213.6,-20.8,-40.8,16.5,139.0,通信设备,通信技术,21,深成500|通信技术|CPO概念,317.8,21.79,178.88,14.2,0.52,0.29,13:52,0,1.64,,
2026-07-21,301583,托伦斯,创业板,1,1/1,132.26,-26.1,,,,半导体,半导体概念,44,半导体概念|存储芯片|先进封装,256.4,14.16,40.78,39.6,2.47,6.06,10:38,0,2.62,,半导体概念盘中走强，存储龙头预告业绩大增|异动情报
2026-07-21,300814,中富电路,创业板,1,1/1,137.3,-17.1,-28.2,90.7,298.7,元件,半导体概念,44,半导体概念|华为概念|通信技术,690.5,13.99,262.83,6.0,0.63,0.24,14:07,0,0.65,,
2026-07-21,300137,先河环保,创业板,1,1/1,12.19,-18.0,-30.5,15.5,106.6,环保设备,机器人概念,12,机器人概念|数据中心|物联网,2366.2,7.76,64.61,13.4,0.3,0.47,14:18,0,0.17,,
2026-07-21,301580,爱迪特,创业板,1,1/1,55.2,4.5,-12.6,58.2,70.9,医疗器械,医疗器械概念,1,医疗器械概念|3D打印,40.5,7.7,55.64,14.9,0.29,0.52,13:00,1,0.82,,近日海外机构调研股名单
2026-07-21,301369,联动科技,创业板,1,1/1,155.76,-24.0,-29.6,58.3,326.0,半导体,半导体概念,44,半导体概念|第三代半导体,402.4,7.15,85.43,9.3,0.06,0.07,14:12,1,0.07,,创业板公司上半年业绩抢先看 84家预增
2026-07-21,301421,波长光电,创业板,1,1/1,70.24,-23.5,-30.5,-33.4,-6.0,光学光电,电池技术,12,电池技术|PCB|无人驾驶,229.3,5.99,32.53,20.2,0.62,1.89,13:10,0,0.24,,2026年半年度业绩预告
2026-07-21,300795,米奥会展,创业板,1,3/2,13.31,62.5,47.4,-4.3,-12.1,专业服务,人工智能,9,人工智能|大数据|2026中报首亏,26.7,5.72,23.16,27.4,0.26,1.1,13:04,2,0.15,,
2026-07-21,301012,扬电科技,创业板,1,1/1,24.46,8.5,-11.3,-22.4,1.5,电网设备,节能环保,6,节能环保|算力概念,107.7,5.41,48.18,11.7,1.08,2.25,09:36,1,1.01,,关于全资子公司签署日常经营重大合同的公告
2026-07-21,301310,鑫宏业,创业板,1,1/1,64.07,-5.2,37.0,116.1,124.0,汽车零部,新能源车,17,机器人概念|光伏概念|新能源车,90.5,5.29,39.07,14.9,0.54,1.37,13:00,0,0.39,,
2026-07-21,300093,金刚光伏,创业板,1,1/1,20.06,-1.9,-13.3,16.5,84.6,光伏设备,光伏概念,7,西部大开发|光伏概念|算力概念,40.8,2.97,46.33,7.1,0.54,1.16,13:27,0,0.31,,
2026-07-21,301588,美新科技,创业板,1,1/1,33.28,-23.3,-19.0,56.8,75.6,家居用品,节能环保,6,节能环保|一带一路|贬值受益,157.0,2.92,24.41,13.3,0.3,1.23,14:45,0,0.38,,最牛股哈药股份上半年净利最高预增近七成；多只熊股单周大跌超40%丨透视一周牛熊股
2026-07-21,301282,金禄电子,创业板,1,1/1,20.83,-6.7,-30.5,1.1,16.5,元件,新能源车,17,新能源车|PCB|无人驾驶,52.5,2.77,36.78,8.3,0.86,2.33,13:41,0,0.22,,2026年半年度业绩预告
2026-07-21,300643,万通智控,创业板,1,1/1,18.64,2.2,0.6,-9.3,-20.6,汽车零部,新能源车,17,机器人概念|新能源车|物联网,26.9,2.5,43.07,6.3,1.28,2.97,11:05,0,0.48,,
