日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-06-16,301176,逸豪新材,创业板,3,3/3,81.5,,,,,元件,PCB,6,,21.58,133.7,16.7,0.01,0.01,10:23,5,-1.49,,
2026-06-16,300145,南方泵业,创业板,1,1/1,5.65,,,,,通用设备,央国企改革,33,,12.53,107.96,12.3,0.31,0.29,10:44,8,1.96,,
2026-06-16,300843,胜蓝股份,创业板,1,1/1,117.62,,,,,消费电子,新能源车,29,,11.92,188.78,6.7,1.01,0.53,10:42,4,1.72,,
2026-06-16,301099,雅创电子,创业板,1,1/1,88.87,,,,,其他电子,新能源车,29,,11.88,79.79,15.5,0.42,0.53,09:44,1,1.41,,
2026-06-16,300964,本川智能,创业板,1,1/1,113.06,,,,,元件,通信技术,21,,9.18,63.32,15.6,0.71,1.13,14:11,0,1.14,,
2026-06-16,301000,肇民科技,创业板,1,1/1,35.22,,,,,汽车零部,新能源车,29,,4.78,80.87,6.4,0.7,0.87,13:02,0,1.2,,
2026-06-16,301055,张小泉,创业板,1,1/1,40.12,,,,,家居用品,电商概念,7,,3.76,62.59,6.5,0.49,0.78,13:06,0,0.36,,
2026-06-16,300931,通用电梯,创业板,1,1/1,16.64,,,,,专用设备,物联网,2,,3.42,32.53,11.1,0.08,0.25,13:04,1,0.3,,
2026-06-16,300780,德恩精工,创业板,1,1/1,32.32,,,,,通用设备,新能源车,29,,2.3,34.75,6.9,1.04,3.0,09:37,0,0.53,,
2026-06-16,000032,深桑达Ａ,主板,4,4/4,22.89,,,,,专业工程,央国企改革,33,,22.57,260.48,8.9,0.35,0.14,09:57,11,1.24,,
2026-06-16,001257,盛龙股份,主板,4,4/4,33.56,,,,,小金属,央国企改革,33,,7.2,45.96,16.1,1.44,3.13,09:32,0,0.59,,
2026-06-16,605198,安德利,主板,3,3/3,78.41,,,,,农产品加,节能环保,7,,9.95,212.13,4.7,0.41,0.19,09:25,5,0.14,,
2026-06-16,002851,麦格米特,主板,2,2/2,163.64,,,,,其他电源,新能源车,29,,48.52,749.88,6.5,2.48,0.33,09:33,14,4.68,,
2026-06-16,600549,厦门钨业,主板,2,2/2,78.41,,,,,小金属,央国企改革,33,,48.2,1218.44,4.0,3.18,0.26,09:39,1,7.52,,
2026-06-16,002080,中材科技,主板,2,6/3,74.92,,,,,玻璃玻纤,央国企改革,33,,40.31,1257.25,3.3,0.15,0.01,10:39,11,4.59,,
2026-06-16,601179,中国西电,主板,2,2/2,16.3,,,,,电网设备,央国企改革,33,,37.07,835.52,4.5,1.17,0.14,09:42,0,8.89,,
2026-06-16,603256,宏和科技,主板,2,6/3,251.55,,,,,玻璃玻纤,华为概念,26,,32.23,2212.95,1.5,0.31,0.01,11:27,3,2.55,,
2026-06-16,603002,宏昌电子,主板,2,6/4,21.09,,,,,电子化学,通信技术,21,,18.77,239.18,8.0,0.81,0.34,10:15,7,-0.36,,
2026-06-16,603618,杭电股份,主板,2,2/2,47.03,,,,,电网设备,电池技术,24,,17.8,325.15,5.6,0.92,0.28,09:38,0,1.02,,
