日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,全部题材,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-07-14,300209,行云科技,创业板,1,1/1,30.36,19.3,16.5,429.8,456.0,软件开发,人工智能,5,电商概念|人工智能|内贸流通,-267.5,37.32,223.01,17.8,0.95,0.43,13:07,5,5.07,,关于中标项目签订补充协议的进展公告
2026-07-14,300164,通源石油,创业板,1,1/1,11.38,50.3,24.2,58.5,100.7,油服工程,西部大开发,11,西部大开发|天然气|油气资源,292.0,27.3,66.37,44.0,0.52,0.79,14:00,0,1.39,,
2026-07-14,300566,激智科技,创业板,1,1/1,33.4,-4.8,3.5,77.5,76.7,光学光电,华为概念,12,华为概念|光伏概念|AI眼镜,43.4,10.51,75.71,14.7,0.91,1.2,13:22,2,0.65,,
2026-07-14,301259,艾布鲁,创业板,1,1/1,26.6,-4.5,17.5,7.6,-18.4,环境治理,节能环保,7,节能环保|人工智能|新型城镇化,192.6,4.7,38.59,13.2,0.29,0.76,14:45,0,0.25,,
2026-07-14,300937,药易购,创业板,1,1/1,23.21,18.4,7.1,-42.6,-22.2,医药商业,西部大开发,11,西部大开发|内贸流通|DeepSeek概念,-112.4,2.4,15.05,16.8,0.39,2.6,10:06,1,0.39,,关于子公司收购四川易购为民大药房连锁有限公司90%股权的公告
2026-07-14,300912,凯龙高科,创业板,1,1/1,27.68,0.6,8.5,42.4,81.6,汽车零部,机器人概念,7,机器人概念|节能环保|新能源车,-34.8,2.24,23.8,10.3,0.4,1.67,13:58,1,0.52,,
2026-07-14,301100,风光股份,创业板,1,1/1,16.86,14.5,9.3,-20.8,-6.3,化学制品,化学制品,2,化学制品,-88.7,1.05,14.96,7.5,0.46,3.07,14:03,0,0.19,,
2026-07-14,600664,哈药股份,主板,3,3/3,4.08,32.9,29.1,14.3,5.7,化学制药,破增发价股,4,破增发价股|病原体防治|中药概念,33.2,17.42,102.76,17.5,0.12,0.11,09:42,1,0.19,,
2026-07-14,002379,宏桥控股,主板,2,2/2,17.49,20.7,-0.5,-38.0,34.0,工业金属,并购重组概念,1,并购重组概念|养老金,11.6,18.28,198.75,9.7,0.97,0.49,13:54,5,1.87,,今年以来105家公司完成定增，募资总额3751.21亿元
2026-07-14,603065,宿迁联盛,主板,2,6/3,23.54,16.2,73.1,184.1,156.3,化学制品,趋势股,2,趋势股,-646.2,12.28,98.62,13.0,0.08,0.08,09:56,3,0.06,,宿迁联盛关于使用部分闲置募集资金进行现金管理的进展公告
