日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-06-17,300475,香农芯创,创业板,1,1/1,245.29,37.7,26.2,78.3,607.6,其他电子,半导体概念,15,,116.0,1103.89,11.6,4.7,0.43,13:38,0,-3.18,,A股重要指数明日调整，牛股批量入选
2026-06-17,300088,长信科技,创业板,1,1/1,10.57,30.2,47.6,81.0,87.7,光学光电,华为概念,24,,43.22,262.72,16.9,2.43,0.93,09:48,2,-8.18,,
2026-06-17,300903,科翔股份,创业板,1,1/1,98.16,48.7,30.4,426.6,1007.9,元件,华为概念,24,,29.97,324.6,9.9,1.15,0.35,10:34,0,-3.02,,
2026-06-17,300283,温州宏丰,创业板,1,1/1,22.15,9.5,28.4,203.6,280.3,电网设备,电池技术,22,,23.11,81.34,31.3,0.46,0.56,14:31,2,-0.4,,
2026-06-17,301366,一博科技,创业板,1,1/1,58.2,26.9,45.5,65.5,56.4,元件,PCB,18,,13.03,68.09,20.3,0.86,1.27,10:31,0,-0.28,,一博科技：公司光模块PCBA业务已进入量产阶段
2026-06-17,300351,永贵电器,创业板,1,1/1,20.53,26.3,-16.9,22.7,34.5,轨交设备,华为概念,24,,9.6,54.08,19.1,0.8,1.48,13:38,0,0.77,,
2026-06-17,300735,光弘科技,创业板,1,1/1,24.85,29.8,20.7,3.3,2.6,消费电子,华为概念,24,,9.27,188.22,5.0,1.15,0.61,09:41,0,-0.23,,
2026-06-17,300737,科顺股份,创业板,1,1/1,8.16,21.2,10.9,58.4,77.0,装修建材,转债标的,4,,8.57,72.37,12.7,0.75,1.03,09:59,3,0.03,,
2026-06-17,300584,海辰药业,创业板,1,1/1,38.22,24.4,1.8,-24.4,-1.7,化学制药,电池技术,22,,4.41,31.38,15.4,0.52,1.67,13:29,0,0.62,,
2026-06-17,301111,粤万年青,创业板,1,1/1,30.31,9.6,26.7,51.7,94.0,中药Ⅱ,幽门螺杆菌概念,2,,3.37,48.5,7.4,0.57,1.17,10:59,0,0.83,,粤万年青股东拟询价转让6%公司股份，公司年报季报亏损均同比进一步扩大
2026-06-17,300386,飞天诚信,创业板,1,1/1,12.37,21.0,0.7,-23.7,-40.6,计算机设,国产芯片,6,,3.08,31.02,10.7,0.46,1.48,11:21,0,-0.11,,
2026-06-17,002080,中材科技,主板,3,7/4,82.41,31.2,26.4,137.7,424.0,玻璃玻纤,央国企改革,23,,66.99,1382.94,4.9,0.12,0.01,09:45,47,-4.48,,
2026-06-17,603186,华正新材,主板,3,8/5,226.67,38.8,126.1,417.9,788.2,元件,华为概念,24,,36.03,355.4,10.2,0.35,0.1,09:32,33,-1.68,,
2026-06-17,603002,宏昌电子,主板,3,7/5,23.2,27.2,55.0,226.5,301.7,电子化学,PCB,18,,18.02,263.11,6.9,0.47,0.18,09:34,10,-3.31,,
2026-06-17,000777,中核科技,主板,3,3/3,21.86,34.9,12.4,6.1,1.3,通用设备,央国企改革,23,,17.02,83.81,20.6,0.78,0.94,09:25,2,-1.63,,
2026-06-17,603618,杭电股份,主板,3,3/3,51.73,29.6,34.0,564.1,775.3,电网设备,电池技术,22,,15.75,357.65,4.5,0.96,0.27,09:36,0,-3.64,,
2026-06-17,600353,旭光电子,主板,3,10/5,38.19,40.3,81.4,139.4,190.9,其他电子,华为概念,24,,11.13,316.52,3.5,4.92,1.56,09:30,0,0.87,,
2026-06-17,002741,光华科技,主板,3,7/4,39.44,38.1,65.0,93.8,116.0,电子化学,电池技术,22,,8.06,168.16,4.8,1.92,1.14,09:30,0,-1.71,,
2026-06-17,601636,旗滨集团,主板,3,3/3,8.67,31.4,36.1,48.7,77.1,玻璃玻纤,光伏概念,6,,5.64,256.52,2.2,2.01,0.78,09:25,0,-1.05,,
2026-06-17,603115,海星股份,主板,3,3/3,119.94,25.3,44.0,564.5,774.8,元件,元件,1,,5.31,290.12,1.9,0.27,0.09,09:36,0,0.27,,
2026-06-17,600110,诺德股份,主板,3,7/4,17.22,41.1,72.2,158.2,346.1,电池,电池技术,22,,2.79,298.8,0.9,5.99,2.01,09:25,0,-6.83,,
2026-06-17,600186,莲花控股,主板,2,2/2,14.66,26.2,39.5,145.2,144.7,调味发酵,半导体概念,15,,29.88,262.29,11.6,0.57,0.22,09:36,8,-5.95,,
2026-06-17,600397,江钨装备,主板,2,2/2,18.36,32.9,31.5,170.0,202.0,专用设备,央国企改革,23,,25.7,181.76,14.7,0.01,0.0,13:15,16,2.35,,
2026-06-17,603773,沃格光电,主板,2,2/2,166.13,7.2,146.2,387.8,697.2,光学光电,华为概念,24,,19.51,373.26,5.3,2.81,0.75,09:39,0,-5.1,,
2026-06-17,002989,中天精装,主板,2,2/2,33.97,20.0,-2.0,28.4,-4.6,装修装饰,央国企改革,23,,7.4,62.28,12.1,0.06,0.09,10:17,17,0.15,,
2026-06-17,002141,贤丰控股,主板,2,2/2,4.28,18.9,21.9,15.4,-3.6,动物保健,电池技术,22,,6.87,44.21,16.1,0.35,0.8,10:05,6,0.82,,
2026-06-17,603989,艾华集团,主板,2,2/2,37.73,20.9,71.5,133.9,162.4,元件,华为概念,24,,5.48,150.46,3.7,0.67,0.44,09:38,4,0.48,,
2026-06-17,600192,长城电工,主板,2,2/2,8.35,22.8,-3.8,-15.0,8.7,电网设备,央国企改革,23,,2.44,36.89,6.7,0.27,0.73,09:31,3,-0.12,,
2026-06-17,000679,大连友谊,主板,2,2/2,7.35,21.9,6.7,-10.3,20.5,一般零售,新零售,2,,1.58,26.2,6.3,0.28,1.08,13:06,0,0.23,,
2026-06-17,600615,鑫源智造,主板,2,2/2,11.04,18.2,-2.9,0.6,2.4,工业金属,西部大开发,11,,1.51,24.87,6.5,0.02,0.06,14:50,1,0.0,,
2026-06-17,603986,兆易创新,主板,1,1/1,586.04,21.9,46.8,190.9,383.4,半导体,半导体概念,15,,315.99,3913.84,8.5,9.24,0.24,14:31,0,-1.32,,
2026-06-17,000725,京东方Ａ,主板,1,1/1,6.71,11.4,60.2,61.7,74.5,光学光电,华为概念,24,,121.34,2373.13,5.2,14.41,0.61,09:46,0,-33.38,,
2026-06-17,000100,TCL科技,主板,1,1/1,5.12,11.8,24.0,11.8,21.3,光学光电,华为概念,24,,106.56,979.56,11.1,1.04,0.11,13:17,2,-13.61,,
2026-06-17,002938,鹏鼎控股,主板,1,1/1,119.01,8.1,34.9,136.8,311.2,元件,华为概念,24,,74.49,2748.4,2.8,0.91,0.03,10:17,6,-6.63,,
2026-06-17,600176,中国巨石,主板,1,3/2,54.6,38.7,60.8,261.4,408.9,玻璃玻纤,央国企改革,23,,70.37,2185.71,3.3,2.71,0.12,09:38,3,-12.05,,电子布年内第五轮涨价落地 AI算力需求拉动玻纤景气持续
2026-06-17,600378,昊华科技,主板,1,6/3,63.8,10.6,82.2,113.9,168.3,化学制品,央国企改革,23,,69.6,684.3,10.6,0.59,0.09,10:52,39,-3.49,,
2026-06-17,002916,深南电路,主板,1,1/1,444.27,16.0,33.2,101.8,370.7,元件,华为概念,24,,51.95,2953.55,1.8,4.94,0.17,09:59,0,-1.84,,
2026-06-17,002491,通鼎互联,主板,1,1/1,28.71,18.2,21.2,361.6,411.8,通信设备,通信技术,6,,51.78,337.76,16.0,1.43,0.42,10:14,2,3.82,,
2026-06-17,600673,东阳光,主板,1,1/1,35.89,7.8,-2.0,63.1,216.8,综合Ⅱ,华为概念,24,,51.16,1077.26,4.8,0.07,0.01,11:02,2,-2.69,,宜昌东数一号投资有限责任公司重大资产重组备考合并审计报告
2026-06-17,600707,彩虹股份,主板,1,1/1,12.66,11.7,16.5,93.3,98.4,光学光电,央国企改革,23,,26.44,454.2,6.0,0.9,0.2,09:47,5,-5.2,,海量财经｜彩虹股份业绩承压 股权质押动作频繁
2026-06-17,603601,再升科技,主板,1,1/1,15.77,14.8,-15.0,74.4,334.4,专业工程,西部大开发,11,,24.91,180.15,14.2,1.18,0.66,09:55,2,-2.96,,
2026-06-17,603929,亚翔集成,主板,1,1/1,232.18,4.6,26.7,162.7,772.5,专业工程,华为概念,24,,21.65,495.38,4.7,1.38,0.28,13:54,1,0.16,,
2026-06-17,600026,中远海能,主板,1,3/2,19.69,18.8,-8.3,64.9,80.0,航运港口,央国企改革,23,,20.28,753.68,2.8,0.99,0.13,10:18,0,-1.15,,
2026-06-17,002254,泰和新材,主板,1,9/5,18.58,8.0,26.8,96.4,82.7,化学纤维,央国企改革,23,,20.12,158.05,13.2,0.46,0.29,10:47,2,-0.66,,
2026-06-17,603283,赛腾股份,主板,1,1/1,63.06,27.2,29.1,100.7,172.0,自动化设,电池技术,22,,19.81,222.3,9.4,0.79,0.35,13:25,0,-1.21,,
2026-06-17,002579,中京电子,主板,1,1/1,18.47,16.8,39.1,56.1,125.5,元件,华为概念,24,,17.08,107.76,16.5,1.26,1.17,10:06,1,3.31,,
2026-06-17,600552,凯盛科技,主板,1,1/1,24.13,17.0,34.4,123.2,124.7,光学光电,华为概念,24,,15.82,227.93,7.1,1.81,0.79,09:51,1,-2.14,,
2026-06-17,001339,智微智能,主板,1,1/1,115.39,15.4,8.1,140.6,152.4,计算机设,机器人概念,4,,15.44,143.7,11.0,0.67,0.46,10:19,8,1.13,,
2026-06-17,601117,中国化学,主板,1,1/1,8.22,12.4,2.9,9.9,8.0,专业工程,央国企改革,23,,15.03,500.44,3.1,2.43,0.49,13:51,0,-0.78,,
2026-06-17,000823,超声电子,主板,1,3/2,22.11,23.7,36.0,67.5,109.8,元件,央国企改革,23,,14.96,131.4,11.7,0.51,0.39,09:43,0,-1.15,,
2026-06-17,600237,铜峰电子,主板,1,3/2,12.56,17.4,41.3,40.6,83.9,元件,央国企改革,23,,9.13,78.45,11.9,0.52,0.66,09:41,1,-1.45,,
2026-06-17,000672,上峰材料,主板,1,1/1,19.03,19.1,3.3,80.8,159.7,水泥,西部大开发,11,,8.39,184.48,4.8,0.08,0.04,13:59,3,-0.27,,
2026-06-17,002201,九鼎新材,主板,1,1/1,12.76,16.2,0.0,53.1,106.5,玻璃玻纤,长江三角,4,,7.3,76.82,9.7,0.39,0.5,09:54,0,-1.14,,143只股即将分红 抢权行情能否开启？
2026-06-17,002106,莱宝高科,主板,1,3/2,14.78,12.7,37.4,40.5,50.2,光学光电,华为概念,24,,6.04,104.18,5.9,0.88,0.85,09:43,0,0.23,,90只股即将实施分红（名单）
2026-06-17,603324,盛剑科技,主板,1,1/1,39.18,27.4,41.2,66.8,67.3,环保设备,华为概念,24,,5.39,57.86,9.8,0.59,1.02,11:22,0,0.55,,
2026-06-17,603458,勘设股份,主板,1,3/2,14.72,13.6,9.8,84.2,104.4,工程咨询,西部大开发,11,,5.27,45.06,12.6,0.62,1.37,13:24,0,-0.11,,
2026-06-17,000050,深天马Ａ,主板,1,1/1,9.14,14.3,23.5,2.0,15.0,光学光电,华为概念,24,,5.21,222.63,2.4,0.63,0.29,09:33,0,0.81,,63家公司获海外机构调研
2026-06-17,603488,展鹏科技,主板,1,1/1,13.18,8.0,15.0,77.9,70.5,专用设备,军工,3,,4.99,38.48,13.6,0.01,0.03,14:00,3,-0.26,,
