日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-06-08,300197,节能铁汉,创业板,1,6/4,3.02,56.5,80.8,58.9,51.8,基础建设,央国企改革,15,,19.47,89.55,22.7,0.27,0.3,09:57,3,,,
2026-06-08,301313,凡拓数创,创业板,1,1/1,59.0,23.4,62.8,119.2,155.4,数字媒体,人工智能,11,,16.65,46.35,36.9,0.9,1.94,09:36,15,,,
2026-06-08,301302,华如科技,创业板,1,1/1,30.12,14.9,11.3,27.5,25.7,军工电子,机器人概念,14,,4.61,41.86,11.6,0.5,1.2,10:26,0,,,
2026-06-08,300376,易事特,创业板,1,1/1,5.94,16.0,-2.0,-0.7,60.2,其他电源,华为概念,10,,3.97,138.25,3.2,1.2,0.87,14:38,0,,,
2026-06-08,301195,北路智控,创业板,1,1/1,33.13,17.0,2.4,0.7,-6.1,软件开发,机器人概念,14,,2.6,29.05,9.3,0.55,1.91,10:09,1,,,
2026-06-08,300105,龙源技术,创业板,1,1/1,7.18,13.4,6.4,-1.6,-1.6,其他电源,央国企改革,15,,1.74,37.01,4.8,0.98,2.65,09:32,0,,,
2026-06-08,600403,大有能源,主板,6,6/6,8.95,61.0,56.7,11.3,118.3,煤炭开采,央国企改革,15,,18.87,213.98,9.0,0.59,0.27,09:32,3,,,
2026-06-08,603135,中重科技,主板,4,4/4,15.43,50.2,20.5,60.9,54.4,专用设备,机器人概念,14,,11.2,97.14,12.0,0.42,0.43,09:48,3,,,
2026-06-08,603500,祥和实业,主板,3,3/3,13.45,25.1,28.1,18.8,49.3,轨交设备,转债标的,4,,7.5,44.74,16.9,0.7,1.57,09:30,2,,,
2026-06-08,002361,神剑股份,主板,2,2/2,18.49,22.3,-15.6,175.1,201.6,塑料,央国企改革,15,,48.23,149.59,32.6,2.95,1.97,09:32,4,,,
2026-06-08,002421,达实智能,主板,2,17/10,5.73,26.8,89.7,95.6,73.1,IT服务Ⅱ,人工智能,11,,27.04,114.79,24.3,1.35,1.18,09:35,4,,,
2026-06-08,603859,能科科技,主板,2,2/2,49.87,13.6,18.1,23.7,69.7,IT服务Ⅱ,人工智能,11,,19.17,122.03,16.0,0.58,0.48,10:08,2,,,
