日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,全部题材,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-07-22,301583,托伦斯,创业板,2,2/2,158.71,13.6,,,,半导体,半导体概念,2,半导体概念|存储芯片|先进封装,307.7,26.07,48.93,54.0,0.42,0.86,09:34,23,2.93,,半导体概念盘中走强，存储龙头预告业绩大增|异动情报
2026-07-22,300779,惠城环保,创业板,1,1/1,69.12,28.2,17.2,-5.4,-48.6,环境治理,破增发价股,4,破增发价股|深成500|节能环保,303.8,17.27,157.02,11.5,0.18,0.12,10:20,6,2.33,,
2026-07-22,300688,创业黑马,创业板,1,1/1,25.01,-3.6,-13.8,-18.3,-25.3,教育,人工智能,5,人工智能|创投|算力概念,-76.6,5.53,37.11,15.4,0.07,0.19,09:48,14,0.97,,2-1重大资产重组报告书(申报稿)(创业黑马科技集团股份有限公司)
2026-07-22,300834,星辉环材,创业板,1,1/1,38.08,1.2,-22.0,54.2,67.8,塑料,化工原料,1,化工原料,139.7,2.22,73.11,3.2,0.59,0.81,11:11,0,0.37,,关于第三期回购公司股份方案的公告
2026-07-22,301234,五洲医疗,创业板,1,1/1,40.8,20.0,9.1,-0.4,14.8,医疗器械,贬值受益,6,医疗器械概念|医美概念|贬值受益,130.2,0.22,16.39,1.3,4.22,25.73,09:25,0,0.07,,公司董事会关于本次交易是否构成重大资产重组、关联交易及重组上市的说明
2026-07-22,001258,立新能源,主板,5,5/5,11.01,61.0,48.6,43.9,49.2,电力,央国企改革,13,央国企改革|西部大开发|光伏概念,102.0,6.63,102.76,6.6,2.37,2.31,09:32,0,1.0,,多省电网用电负荷创新高！电力股爆发，业绩预增股立新能源5连板
2026-07-22,600744,华银电力,主板,4,4/4,7.94,44.4,11.7,16.4,6.7,电力,央国企改革,13,央国企改革|光伏概念|储能概念,111.7,29.0,161.27,19.0,0.02,0.01,14:41,1,1.65,,
2026-07-22,000815,美利云,主板,3,3/3,16.13,23.7,-9.1,36.6,22.3,IT服务Ⅱ,央国企改革,13,央国企改革|西部大开发|光伏概念,144.0,14.48,112.15,13.0,2.07,1.84,09:25,3,0.42,,
2026-07-22,603118,共进股份,主板,2,4/3,16.42,27.6,25.4,40.7,50.6,通信设备,央国企改革,13,央国企改革|华为概念|通信技术,161.7,18.13,129.27,14.1,0.1,0.08,09:31,4,0.93,,
2026-07-22,603629,利通电子,主板,2,2/2,118.34,5.6,-14.7,421.7,601.2,消费电子,国产芯片,5,国产芯片|人工智能|算力概念,81.2,14.97,426.88,3.6,0.23,0.05,09:32,0,3.21,,利通电子披露减持计划进展：钱旭减持2.5万股 夏长征未实施减持
2026-07-22,000603,盛达资源,主板,2,2/2,22.57,8.4,-18.1,-50.8,39.2,贵金属,黄金概念,2,黄金概念,25.8,9.2,150.48,6.3,0.7,0.47,09:50,2,1.32,,
2026-07-22,002879,长缆科技,主板,2,2/2,14.92,15.9,3.3,-30.0,-7.3,电网设备,液冷概念,1,液冷概念|电网概念|智能电网,21.7,4.49,20.46,22.5,0.05,0.24,09:32,4,0.02,,关于公司董事长增持股份计划的公告
2026-07-22,002213,大为股份,主板,2,2/2,27.49,-5.5,-34.5,-12.5,63.6,半导体,国产芯片,5,半导体概念|电池技术|国产芯片,3448.1,2.4,56.83,4.3,0.95,1.67,09:33,0,0.78,,关于2026年度以简易程序向特定对象发行A股股票申请获得中国证券监督管理委员会同意注册批复的公告
2026-07-22,002197,证通电子,主板,2,2/2,6.97,22.3,9.1,-26.5,4.2,计算机设,华为概念,5,华为概念|国产芯片|人工智能,-11.6,1.35,37.22,3.7,1.51,4.06,09:30,0,0.5,,
2026-07-22,603407,长裕集团,主板,2,5/3,64.34,7.8,-14.0,,,化学原料,小金属概念,1,小金属概念,103.7,1.22,23.11,5.3,0.09,0.38,09:25,0,0.13,,涨价10%-40%！氧化锆龙头官宣调价 东方锆业强势涨停
2026-07-22,603221,爱丽家居,主板,2,2/2,11.57,1.4,1.6,-14.6,0.9,家居用品,贬值受益,6,长江三角|电商概念|贬值受益,-142.7,0.01,28.03,0.1,0.13,0.46,09:25,0,0.01,,爱丽家居科技股份有限公司关于部分股权激励限制性股票回购注销实施公告
2026-07-22,603893,瑞芯微,主板,1,1/1,228.86,8.7,27.2,17.5,45.4,半导体,华为概念,5,华为概念|国产芯片|人工智能,83.5,83.37,967.83,8.8,0.14,0.01,10:26,17,10.39,,
2026-07-22,600396,华电辽能,主板,1,3/2,14.92,21.0,-9.0,389.2,309.9,电力,央国企改革,13,央国企改革|绿色电力|新能源,541.9,35.52,219.73,16.8,0.19,0.09,10:16,3,9.19,,
2026-07-22,600726,华电能源,主板,1,3/2,6.6,11.3,-18.3,164.0,141.8,电力,央国企改革,13,央国企改革,160.7,24.21,493.37,5.1,0.04,0.01,14:36,0,2.64,,
2026-07-22,603296,华勤技术,主板,1,1/1,87.67,12.1,10.5,34.6,47.6,消费电子,华为概念,5,机器人概念|华为概念|算力概念,31.1,24.18,700.13,3.5,0.11,0.02,09:45,0,5.68,,华勤技术关于回购A股股份事项前十大股东和前十大无限售条件股东持股情况的公告
2026-07-22,000975,山金国际,主板,1,1/1,22.52,16.4,5.8,-34.4,16.9,贵金属,央国企改革,13,央国企改革|西部大开发|深成500,17.0,20.73,568.23,3.7,0.49,0.09,09:55,7,3.29,,
2026-07-22,600722,金牛化工,主板,1,4/3,9.91,23.0,8.4,45.9,60.4,化学原料,央国企改革,13,央国企改革|京津冀,141.7,13.3,67.42,20.4,0.01,0.02,09:58,6,2.05,,
2026-07-22,000506,招金黄金,主板,1,1/1,13.02,3.8,-13.4,-32.6,21.6,贵金属,央国企改革,13,央国企改革|一带一路|黄金概念,34.6,10.9,120.92,9.3,0.41,0.34,11:22,0,2.5,,
2026-07-22,603619,中曼石油,主板,1,3/2,21.34,9.9,-3.6,-19.7,13.3,油服工程,一带一路,5,机器人概念|一带一路|天然气,31.7,10.0,98.66,10.3,0.01,0.01,09:41,17,1.84,,
2026-07-22,002515,金字火腿,主板,1,1/1,8.18,-3.9,-20.0,31.1,36.6,食品加工,电商概念,2,电商概念|新零售|2026中报首亏,714.1,9.33,90.13,10.7,0.72,0.8,10:04,1,1.0,,金字火腿：实控人郑庆昇质押1591万股 并解押870万股
2026-07-22,600644,乐山电力,主板,1,4/3,10.6,31.4,16.0,-9.7,-28.4,电力,光伏概念,7,西部大开发|光伏概念|储能概念,274.9,9.0,61.3,15.6,0.01,0.02,14:47,0,0.7,,乐山电力股份有限公司2026年半年度业绩快报公告
2026-07-22,600403,大有能源,主板,1,7/4,5.7,1.2,-9.2,-15.3,40.0,煤炭开采,央国企改革,13,央国企改革|破增发价股|长江三角,-6.6,8.14,136.28,6.2,0.01,0.01,10:43,2,0.88,,
2026-07-22,605196,华通线缆,主板,1,1/1,29.63,18.9,-7.4,-24.1,62.9,电网设备,光伏概念,7,光伏概念|贬值受益|工业互联,49.1,7.5,149.62,5.2,0.02,0.01,10:34,2,1.64,,
2026-07-22,000566,海南海药,主板,1,6/3,5.21,1.2,40.4,-22.4,-25.3,化学制药,央国企改革,13,央国企改革|破增发价股|创投,-15.4,7.19,67.56,11.0,0.89,1.32,09:53,1,1.45,,
2026-07-22,603580,艾艾精工,主板,1,10/7,40.03,7.8,54.1,143.3,169.8,塑料,贬值受益,6,贬值受益,126.9,6.28,52.31,12.6,0.01,0.01,09:46,11,0.36,,
2026-07-22,002545,东方铁塔,主板,1,1/1,18.13,12.6,-4.3,-29.7,84.2,农化制品,一带一路,5,风能|深成500|一带一路,16.1,5.47,204.9,2.8,0.27,0.13,10:48,1,1.17,,
2026-07-22,603725,天安新材,主板,1,1/1,13.48,2.8,22.4,33.5,60.5,家居用品,创投,4,机器人概念|新能源车|创投,35.5,5.32,41.09,13.1,0.0,0.01,09:40,4,0.41,,
