日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,全部题材,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-07-07,301516,中远通,创业板,1,1/1,18.72,32.3,10.6,17.0,11.8,其他电源,新能源车,7,新能源车|通信技术|5G概念,,4.18,13.14,33.3,0.33,2.49,10:09,1,0.84,,
2026-07-07,301251,威尔高,创业板,1,1/1,50.77,-4.7,6.6,32.0,83.4,元件,华为概念,2,华为概念|PCB|数据中心,,2.15,38.38,5.6,1.51,3.94,09:25,0,0.68,,
2026-07-07,603137,恒尚节能,主板,6,6/6,20.83,61.0,71.4,46.7,41.0,装修装饰,节能环保,1,节能环保|新型城镇化|装配建筑,,0.15,38.11,0.4,3.85,10.11,09:25,0,0.05,,
2026-07-07,600793,宜宾纸业,主板,5,11/6,19.37,61.0,43.5,-8.6,-38.1,造纸,央国企改革,7,央国企改革|西部大开发|化工原料,,3.21,34.27,9.6,0.26,0.76,09:46,0,0.11,,4连板宜宾纸业：控股子公司与TAC膜相关客户暂未签订正式合同
2026-07-07,600246,万通发展,主板,2,2/2,18.6,-2.1,7.0,48.1,191.5,房地产开,通信技术,6,通信技术|5G概念|创投,,46.42,351.62,13.4,0.05,0.02,09:48,39,5.01,,
2026-07-07,600288,大恒科技,主板,2,2/2,15.55,16.9,15.1,1.6,52.6,软件开发,通信技术,6,通信技术|人工智能|虚拟现实,,18.7,67.92,27.8,0.15,0.23,09:34,11,-0.25,,
2026-07-07,603861,白云电器,主板,2,2/2,15.2,17.7,-15.5,19.0,56.8,电网设备,华为概念,2,华为概念|数据中心|电网概念,,6.68,80.35,8.5,0.37,0.46,09:51,5,1.32,,
2026-07-07,002185,华天科技,主板,1,1/1,21.93,-1.7,21.4,93.2,123.4,半导体,半导体概念,6,半导体概念|通信技术|人工智能,,119.99,728.66,16.9,4.19,0.58,10:30,5,35.25,,
2026-07-07,600206,有研新材,主板,1,1/1,55.98,-15.9,92.2,157.5,197.1,半导体,央国企改革,7,半导体概念|央国企改革|通信技术,,45.59,473.9,9.8,2.78,0.59,09:45,1,11.48,,筹划近两年时间，有研新材终止定增
2026-07-07,002129,TCL中环,主板,1,1/1,11.02,-8.3,17.0,22.9,40.9,光伏设备,新能源车,7,半导体概念|光伏概念|新能源车,,37.97,445.18,8.7,1.39,0.31,10:05,1,8.05,,
2026-07-07,600360,华微电子,主板,1,1/1,15.32,4.5,18.0,88.5,82.5,半导体,央国企改革,7,半导体概念|央国企改革|新能源车,,28.16,147.12,19.8,0.87,0.59,13:45,4,5.7,,
2026-07-07,603823,百合花,主板,1,1/1,72.45,32.8,144.6,365.3,418.6,化学制品,电池技术,4,电池技术|锂电池概念|趋势股,,21.18,301.66,7.2,0.32,0.1,10:35,1,0.48,,
2026-07-07,000973,佛塑科技,主板,1,1/1,14.58,1.6,4.9,-5.9,114.2,塑料,央国企改革,7,央国企改革|电池技术|锂电池概念,,14.43,141.05,10.3,0.5,0.35,09:31,3,3.92,,
2026-07-07,603065,宿迁联盛,主板,1,1/1,20.25,-0.0,116.6,145.6,111.5,化学制品,化学制品,1,化学制品,,13.51,84.84,16.5,0.12,0.14,09:37,2,0.22,,
2026-07-07,002137,实益达,主板,1,1/1,11.43,-0.6,10.4,31.5,32.0,光学光电,半导体概念,6,半导体概念|通信技术|5G概念,,11.2,45.32,25.3,0.6,1.33,09:53,5,3.54,,
2026-07-07,002585,双星新材,主板,1,1/1,11.37,-8.3,-3.8,53.6,109.8,塑料,电池技术,4,电池技术|光伏概念|锂电池概念,,4.81,100.82,4.9,1.47,1.46,09:43,0,1.91,,
2026-07-07,002497,雅化集团,主板,1,1/1,24.65,21.0,16.6,0.6,119.9,化学制品,机器人概念,4,机器人概念|电池技术|锂电池概念,,4.37,261.19,1.7,3.71,1.42,09:25,0,1.6,,2026年半年度业绩预告
2026-07-07,001365,天海电子,主板,1,1/1,43.46,10.6,-0.6,,,汽车零部,央国企改革,7,央国企改革|机器人概念|新能源车,,3.38,24.99,13.7,1.67,6.67,09:38,0,1.2,,
2026-07-07,003004,声迅股份,主板,1,1/1,79.95,-2.0,28.4,223.7,334.7,计算机设,人工智能,6,人工智能|低空经济|物联网,,2.6,54.96,4.9,1.2,2.18,11:08,0,0.3,,
2026-07-07,002841,视源股份,主板,1,1/1,43.08,24.8,20.8,7.9,29.0,消费电子,人工智能,6,深成500|机器人概念|人工智能,,2.38,224.6,1.1,5.21,2.32,09:25,0,0.74,,2026年半年度业绩预告
2026-07-07,605118,力鼎光电,主板,1,1/1,38.08,9.1,10.9,26.0,44.8,计算机设,虚拟现实,2,安防概念|虚拟现实|AI眼镜,,2.05,155.7,1.3,0.35,0.22,09:37,2,0.64,,
2026-07-07,001206,依依股份,主板,1,1/1,19.54,4.2,22.0,-34.0,-8.1,个护用品,宠物经济,1,宠物经济|贬值受益|婴童概念,,1.55,20.88,7.6,0.25,1.18,09:52,0,0.64,,
2026-07-07,603178,圣龙股份,主板,1,3/2,16.35,18.1,-5.9,-15.2,-12.3,汽车零部,新能源车,7,新能源车,,1.47,38.65,3.9,0.42,1.09,09:35,0,0.56,,
2026-07-07,605399,晨光新材,主板,1,1/1,14.51,-1.2,11.8,2.8,16.1,化学制品,化工原料,2,化工原料|一带一路|工业互联,,1.45,45.2,3.3,0.38,0.85,10:22,0,0.48,,
2026-07-07,600120,浙江东方,主板,1,1/1,4.88,13.5,3.6,-25.4,-16.4,多元金融,央国企改革,7,央国企改革|中芯概念|创投,,1.42,166.67,0.9,1.52,0.91,09:25,0,0.62,,浙江东方控股集团股份有限公司2026年半年度业绩预告
2026-07-07,600094,大名城,主板,1,1/1,3.84,11.0,-6.8,-9.2,21.1,房地产开,低空经济,2,长江三角|微利股|低空经济,,1.23,81.65,1.6,0.62,0.76,10:58,0,0.35,,
2026-07-07,001230,劲旅环境,主板,1,1/1,17.42,13.4,-3.6,12.0,14.7,环境治理,新能源车,7,机器人概念|新能源车|人工智能,,0.98,19.16,5.3,0.3,1.58,13:10,1,0.32,,
2026-07-07,603356,华菱精工,主板,1,1/1,17.93,8.5,1.0,26.1,28.4,专用设备,光伏概念,3,风能|光伏概念,,0.88,23.91,3.7,1.02,4.26,09:35,0,0.29,,两次谋退未果后，华菱精工实控人黄业华拟转让8%股权，接盘方有半导体背景
2026-07-07,002951,金时科技,主板,1,1/1,14.84,11.1,-33.5,0.1,3.8,其他电源,储能概念,1,储能概念|超级电容|蚂蚁概念,,0.88,59.53,1.5,0.95,1.6,09:35,0,0.38,,
2026-07-07,001229,魅视科技,主板,1,1/1,38.82,6.9,43.5,27.0,64.5,计算机设,人工智能,6,趋势股|人工智能|AI应用,,0.7,28.63,2.5,1.2,4.18,09:30,0,0.35,,
2026-07-07,001311,多利科技,主板,1,1/1,19.67,21.9,-4.0,-21.7,25.2,汽车零部,新能源车,7,新能源车|养老金|特斯拉概念,,0.66,34.84,1.9,0.58,1.68,09:31,0,0.3,,
2026-07-07,601121,宝地矿业,主板,1,1/1,6.47,14.7,3.4,-14.3,4.9,冶钢原料,央国企改革,7,央国企改革|西部大开发|反内卷概念,,0.5,51.76,1.0,0.62,1.2,09:25,0,0.14,,新疆宝地矿业股份有限公司关于2026年半年度业绩预告的公告
2026-07-07,688432,有研硅,科创板,1,1/1,46.14,15.4,132.6,254.8,322.3,半导体,半导体概念,6,半导体概念|中芯概念|存储芯片,,33.89,576.89,6.1,0.85,0.15,09:56,6,1.89,,有研硅关于公司通过公开摘牌方式参与收购安徽晶隆半导体科技有限公司股权的进展公告
