日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,全部题材,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-07-28,300067,安诺其,创业板,1,1/1,5.62,25.2,3.3,8.1,3.7,化学制品,区块链,10,长江三角|电商概念|区块链,-148.3,8.25,52.67,16.5,0.65,1.24,13:12,1,1.34,,关于本次方案调整构成重组方案重大调整的公告
2026-07-28,300663,科蓝软件,创业板,1,1/1,8.96,9.4,35.3,-50.6,-55.6,软件开发,华为概念,15,华为概念|人工智能|区块链,-10.3,5.9,41.25,14.9,0.43,1.03,09:45,1,1.73,,全球首款CE认证设备落地！脑机接口概念走强，创新医疗4天3板
2026-07-28,301421,波长光电,创业板,1,1/1,82.12,16.9,-11.6,-24.2,2.7,光学光电,光刻机(胶),7,电池技术|光刻机(胶)|无人驾驶,268.0,3.7,38.03,9.7,2.19,5.77,09:25,0,1.32,,
2026-07-28,603221,爱丽家居,主板,6,6/6,16.94,61.0,66.7,30.5,51.1,家居用品,长江三角,9,长江三角|电商概念|2026中报首亏,-207.1,0.13,41.04,0.3,3.54,8.64,09:25,0,0.07,,爱丽家居开盘一字涨停！晋级5连板，此前宣布6.5亿现金跨界并购半导体公司
2026-07-28,000533,顺钠股份,主板,4,4/4,11.56,45.4,20.9,26.9,66.1,电网设备,光伏概念,2,光伏概念|数据中心|百度概念,80.4,21.48,79.17,28.1,0.34,0.43,09:30,12,0.34,,
2026-07-28,002388,新亚制程,主板,3,3/3,5.28,36.4,1.3,-7.5,18.1,其他电子,华为概念,15,半导体概念|华为概念|2026中报首亏,-86.7,5.69,26.72,21.6,0.32,1.19,09:34,5,-0.31,,
2026-07-28,002310,东方新能,主板,2,2/2,2.65,11.3,23.3,11.8,24.4,电力,央国企改革,19,央国企改革|光伏概念|2026中报扭亏,-187.4,10.64,116.57,9.3,1.28,1.09,10:00,0,1.03,,
2026-07-28,002173,创新医疗,主板,2,4/3,22.76,31.2,41.0,-21.0,55.9,医疗服务,人工智能,15,长江三角|人工智能|DeepSeek概念,-218.0,8.44,95.79,8.8,2.49,2.6,09:30,1,1.98,,
2026-07-28,600775,南京熊猫,主板,2,2/2,10.35,21.1,10.7,-30.0,-2.4,通信设备,央国企改革,19,央国企改革|军工|长江三角,289.4,5.74,69.54,8.4,1.14,1.64,09:52,1,0.34,,
2026-07-28,002309,中利集团,主板,2,2/2,3.37,22.1,21.2,9.1,5.6,电网设备,央国企改革,19,央国企改革|华为概念|长江三角,284.2,5.39,81.09,6.8,1.36,1.68,09:31,0,1.03,,
2026-07-28,000566,海南海药,主板,2,10/5,5.83,23.0,41.2,-14.4,-13.1,化学制药,央国企改革,19,央国企改革|破增发价股|创投,-17.3,4.64,75.6,6.2,0.9,1.2,09:31,0,1.76,,
2026-07-28,002969,嘉美包装,主板,2,2/2,12.61,19.3,-9.4,-45.6,252.2,包装印刷,电商概念,6,消费风格|电商概念|包装材料,98.3,4.08,137.79,3.0,1.61,1.17,09:31,1,0.64,,
2026-07-28,603716,塞力医疗,主板,2,2/2,16.43,14.8,14.2,-32.8,-50.4,医药商业,人工智能,15,破增发价股|人工智能|区块链,-17.6,3.92,37.1,10.8,0.88,2.36,09:35,1,1.1,,全球首款CE认证设备落地！脑机接口概念走强，创新医疗4天3板
2026-07-28,003032,传智教育,主板,2,2/2,6.62,22.1,30.3,-1.2,2.0,教育,华为概念,15,华为概念|2026中报扭亏|鸿蒙概念,-31.9,2.26,18.83,12.3,0.2,1.06,09:47,3,0.36,,
2026-07-28,603358,华达科技,主板,2,2/2,37.46,10.5,-8.5,-29.5,8.2,汽车零部,2026中报首亏,5,新能源车|特斯拉概念|2026中报首亏,134.5,1.54,172.98,0.9,0.77,0.45,09:31,0,0.32,,
2026-07-28,603389,亚振家居,主板,2,2/2,46.59,8.2,-18.6,-6.4,116.3,家居用品,创投,4,消费风格|创投|首发经济,-231.8,1.33,122.42,1.1,0.54,0.44,09:44,0,0.27,,
2026-07-28,000428,华天酒店,主板,2,2/2,3.67,21.1,18.0,5.2,7.9,酒店餐饮,央国企改革,19,央国企改革|破增发价股|内贸流通,-17.9,1.13,37.39,3.1,0.36,0.96,09:33,0,0.2,,
2026-07-28,605068,明新旭腾,主板,2,2/2,17.02,21.8,-0.8,-37.5,-6.9,汽车零部,机器人概念,1,机器人概念|转债标的,-248.7,0.82,27.61,3.1,0.22,0.8,09:38,0,0.21,,
2026-07-28,001358,兴欣新材,主板,2,2/2,24.53,21.8,5.6,-13.1,4.2,化学制品,光刻机(胶),7,节能环保|OLED|光刻机(胶),57.8,0.71,12.5,5.8,0.58,4.6,09:35,0,0.15,,
