日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,全部题材,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-06-18,300319,麦捷科技,创业板,1,1/1,27.76,33.4,101.0,143.7,167.6,元件,央国企改革,23,央国企改革|华为概念|趋势股,81.8,45.8,236.31,21.2,1.51,0.64,13:10,0,3.51,,
2026-06-18,300166,东方国信,创业板,1,1/1,18.7,27.6,-12.8,94.2,92.4,IT服务Ⅱ,华为概念,17,华为概念|5G概念|人工智能,-97.2,34.87,169.38,21.8,1.17,0.69,13:01,6,9.7,,
2026-06-18,300861,美畅股份,创业板,1,1/1,24.32,31.7,19.2,69.0,88.9,通用设备,西部大开发,7,西部大开发|光伏概念|蓝宝石,39.7,10.58,102.6,10.6,0.38,0.37,09:40,10,1.65,,
2026-06-18,301310,鑫宏业,创业板,1,1/1,46.75,51.0,50.3,49.0,89.7,汽车零部,机器人概念,16,机器人概念|光伏概念|新能源车,66.0,10.01,28.51,36.6,0.01,0.02,13:07,32,-0.45,,
2026-06-18,301687,新广益,创业板,1,1/1,82.44,56.4,37.9,,,塑料,新能源车,16,光伏概念|新能源车|PCB,96.8,9.21,24.35,40.5,0.31,1.25,13:11,1,0.94,,
2026-06-18,300522,世名科技,创业板,1,1/1,19.21,59.4,40.6,61.3,46.4,化学制品,储能概念,2,光刻机(胶)|储能概念|石墨烯,362.1,8.96,50.54,18.7,0.32,0.63,10:03,0,1.36,,世名科技：年产5000吨LCD显示光刻胶专用纳米颜料分散液项目达产后收入、净利润存在无法达到预期测算水平的风险
2026-06-18,301580,爱迪特,创业板,1,1/1,63.17,39.8,40.8,106.5,133.0,医疗器械,医疗器械概念,5,医疗器械概念|3D打印,46.4,2.2,63.68,3.5,2.34,3.68,09:25,0,0.75,,
2026-06-18,600353,旭光电子,主板,4,11/6,42.01,40.3,81.4,165.4,227.4,其他电子,华为概念,17,华为概念|趋势股|5G概念,211.3,13.57,348.18,3.9,3.47,1.0,09:31,0,0.87,,旭光电子定增申请获上交所受理
2026-06-18,600397,江钨装备,主板,3,3/3,20.2,41.7,47.0,186.9,236.1,专用设备,央国企改革,23,央国企改革|并购重组概念|反内卷概念,-115.9,29.56,199.97,15.5,0.33,0.17,14:00,3,2.35,,
2026-06-18,002989,中天精装,主板,3,3/3,37.37,38.1,9.9,36.6,4.7,装修装饰,央国企改革,23,央国企改革|转债标的|深圳特区,-42.2,7.61,68.51,11.4,0.46,0.68,09:48,9,0.15,,
2026-06-18,002141,贤丰控股,主板,3,8/4,4.71,38.5,31.6,28.3,3.5,动物保健,电池技术,19,电池技术|锂电池概念|PCB,425.6,2.58,48.65,5.4,1.14,2.34,09:31,0,0.82,,
2026-06-18,603989,艾华集团,主板,3,3/3,41.5,35.7,71.5,159.1,185.0,元件,华为概念,17,华为概念|节能环保|充电桩,62.6,2.2,165.49,1.3,1.28,0.77,09:30,0,0.48,,
