日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,全部题材,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-07-17,300577,开润股份,创业板,1,1/1,20.36,20.5,31.8,-7.9,1.3,服装家纺,破增发价股,6,破增发价股|电商概念|贬值受益,14.2,3.44,28.94,11.9,0.37,1.28,09:25,2,0.29,,关于全资子公司与专业投资机构共同投资的进展公告
2026-07-17,300795,米奥会展,创业板,1,1/1,10.48,24.5,16.2,-25.3,-33.1,专业服务,人工智能,7,一带一路|电商概念|人工智能,21.1,1.68,18.23,9.4,0.68,3.76,09:38,0,0.53,,
2026-07-17,603580,艾艾精工,主板,4,7/6,44.92,46.4,72.4,175.8,201.7,塑料,贬值受益,2,贬值受益,142.4,0.12,58.7,0.2,0.12,0.2,09:25,0,0.06,,603580，拟易主，今日复牌！停牌前“3天2板”！
2026-07-17,000676,智度股份,主板,3,3/3,6.84,28.3,24.4,-29.0,-26.7,广告营销,人工智能,7,华为概念|电商概念|人工智能,60.1,17.23,86.12,20.4,0.65,0.76,09:31,3,0.24,,智度股份：预计2026年上半年净利同比增长63.69%-75.81%
2026-07-17,600162,香江控股,主板,3,3/3,3.06,27.0,-5.8,67.2,81.2,房地产开,破增发价股,6,破增发价股|深圳特区|养老概念,-114.1,11.16,100.01,11.6,0.02,0.02,14:27,0,0.38,,香江控股关于全资子公司签订重大合同的公告
2026-07-17,002677,浙江美大,主板,3,6/4,7.95,10.0,26.9,-13.0,12.9,厨卫电器,人工智能,7,人工智能,771.4,0.55,43.85,1.2,0.91,2.07,09:25,0,0.15,,2026-033关于公司控股股东、实际控制人签署《股份转让协议》暨控制权拟发生变更的提示性公告(15)
2026-07-17,002632,道明光学,主板,2,2/2,10.59,19.0,6.2,-18.0,18.5,塑料,光伏概念,8,华为概念|光伏概念|电商概念,31.3,7.62,60.83,12.6,0.57,0.93,09:30,2,0.97,,
2026-07-17,603567,珍宝岛,主板,2,2/2,6.03,26.2,18.7,-34.5,-45.9,中药Ⅱ,破增发价股,6,破增发价股|流感|中药概念,-3.5,6.1,56.65,11.1,0.02,0.04,09:36,1,0.48,,
2026-07-17,002829,星网宇达,主板,2,7/4,20.72,6.3,8.4,-31.4,0.5,航天装备,人工智能,7,破增发价股|人工智能|2026中报扭亏,-34.7,5.61,30.26,20.2,0.23,0.75,14:09,1,0.83,,
2026-07-17,001258,立新能源,主板,2,2/2,8.27,23.8,8.1,12.2,13.8,电力,央国企改革,13,央国企改革|绿色电力|光伏概念,76.6,4.6,77.19,6.1,0.81,1.05,09:46,1,0.61,,新疆立新能源股份有限公司2026年面向专业投资者公开发行科技创新低碳转型挂钩公司债券(第一期)发行前独立评估认证报告
