日期,代码,名称,板块,连板数,涨停统计,现价,近一周%,近一月%,近半年%,近一年%,所属行业,主题材,题材共振数,全部题材,PE_TTM,成交额(亿),流通市值(亿),换手率%,封单(亿),封单占流通%,首封时间,开板次数,主力净流入(亿),是否ST,消息驱动
2026-08-07,300363,博腾股份,创业板,1,1/1,20.44,,,,,医疗服务,西部大开发,6,西部大开发|创新医疗服务|CRO,86.5,13.83,101.29,14.8,0.36,0.36,13:22,2,1.57,,过半收入绑定诺华风险凸显！九洲药业上半年净利下跌 26%，押注多肽赛道谋破局
2026-08-07,301047,义翘神州,创业板,1,4/2,107.88,,,,,生物制品,病原体防治,12,病原体防治|创新医疗服务|CRO,83.5,13.71,129.0,11.6,0.78,0.61,13:02,2,2.36,,
2026-08-07,300986,志特新材,创业板,1,1/1,14.8,,,,,专业工程,一带一路,7,一带一路|新型城镇化,48.0,10.96,85.15,14.2,0.78,0.91,11:13,1,2.27,,
2026-08-07,301366,一博科技,创业板,1,1/1,53.33,,,,,元件,PCB,15,人工智能|商业航天|PCB,125.3,10.22,62.39,17.3,0.46,0.73,09:57,0,1.92,,
2026-08-07,301080,百普赛斯,创业板,1,1/1,64.75,,,,,生物制品,病原体防治,12,病原体防治|重组蛋白|AI制药（医疗）,63.4,9.15,82.13,11.7,0.6,0.74,10:36,1,0.97,,多股涨停！药明康德业绩带动医药板块走强，行情能否持续
2026-08-07,301230,泓博医药,创业板,1,1/1,32.42,,,,,医疗服务,病原体防治,12,病原体防治|创新药|CRO,127.2,7.58,52.76,15.6,0.43,0.81,14:35,0,1.04,,
2026-08-07,301234,五洲医疗,创业板,1,1/1,83.62,,,,,医疗器械,医疗器械概念,4,医疗器械概念|医美概念|贬值受益,266.8,5.49,33.59,18.4,0.04,0.13,14:56,0,0.19,,
2026-08-07,300916,朗特智能,创业板,1,1/1,26.4,,,,,消费电子,医疗器械概念,4,医疗器械概念|消费电子概念|储能概念,51.9,4.16,24.66,18.2,0.05,0.2,13:28,3,0.59,,
2026-08-07,301008,宏昌科技,创业板,1,1/1,41.41,,,,,家电零部,人形机器人,1,人形机器人|传感器,242.7,1.06,47.89,2.2,1.56,3.26,09:25,0,0.37,,关于签署股权收购意向协议的公告
2026-08-07,002428,云南锗业,主板,4,4/4,100.08,,,,,小金属,通信技术,18,半导体概念|华为概念|通信技术,3430.5,117.41,653.56,18.3,1.95,0.3,10:10,1,2.1,,
